Run_number: 3853 | Ap_exp: 0.166667 | errAexp: 0.284638
Run_number: 3854 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 3855 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 3856 | Ap_exp: -0.142857 | errAexp: 0.21598
Run_number: 3857 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 3858 | Ap_exp: -0.047619 | errAexp: 0.21797
Run_number: 3859 | Ap_exp: -0.1 | errAexp: 0.222486
Run_number: 3860 | Ap_exp: 0.6 | errAexp: 0.357771
Run_number: 3861 | Ap_exp: 0.428571 | errAexp: 0.341494
Run_number: 3864 | Ap_exp: 0.0666667 | errAexp: 0.257624
Run_number: 3866 | Ap_exp: -0.0588235 | errAexp: 0.242116
Run_number: 3868 | Ap_exp: -0.176471 | errAexp: 0.238729
Run_number: 3869 | Ap_exp: 0.222222 | errAexp: 0.229809
Run_number: 3878 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 3880 | Ap_exp: 0.733333 | errAexp: 0.175541
Run_number: 3881 | Ap_exp: 1 | errAexp: 0
Run_number: 3882 | Ap_exp: -0.142857 | errAexp: 0.26452
Run_number: 3883 | Ap_exp: 0 | errAexp: 0.288675
Run_number: 3884 | Ap_exp: -0.125 | errAexp: 0.248039
Run_number: 3885 | Ap_exp: 0.181818 | errAexp: 0.209647
Run_number: 3889 | Ap_exp: -0.0909091 | errAexp: 0.300263
Run_number: 3890 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 3923 | Ap_exp: -0.5 | errAexp: 0.306186
Run_number: 3924 | Ap_exp: 0 | errAexp: 0.5
Run_number: 3926 | Ap_exp: 0.0666667 | errAexp: 0.257624
Run_number: 3927 | Ap_exp: 0.142857 | errAexp: 0.374088
Run_number: 3928 | Ap_exp: -0.454545 | errAexp: 0.268563
Run_number: 3929 | Ap_exp: 0.454545 | errAexp: 0.268563
Run_number: 3930 | Ap_exp: 0.428571 | errAexp: 0.341494
Run_number: 3931 | Ap_exp: 0.333333 | errAexp: 0.243432
Run_number: 3932 | Ap_exp: -0.1 | errAexp: 0.222486
Run_number: 3933 | Ap_exp: -0.285714 | errAexp: 0.25612
Run_number: 3934 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 3935 | Ap_exp: -0.384615 | errAexp: 0.256015
Run_number: 3936 | Ap_exp: 0.125 | errAexp: 0.248039
Run_number: 3937 | Ap_exp: 0.411765 | errAexp: 0.22102
Run_number: 3938 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 3939 | Ap_exp: -0.166667 | errAexp: 0.284638
Run_number: 3940 | Ap_exp: 0.272727 | errAexp: 0.290081
Run_number: 3941 | Ap_exp: 0.294118 | errAexp: 0.231808
Run_number: 3942 | Ap_exp: -0.125 | errAexp: 0.248039
Run_number: 3944 | Ap_exp: 0.428571 | errAexp: 0.341494
Run_number: 3945 | Ap_exp: -1 | errAexp: 0
Run_number: 3946 | Ap_exp: 0.176471 | errAexp: 0.238729
Run_number: 3947 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 3948 | Ap_exp: -0.333333 | errAexp: 0.222222
Run_number: 3951 | Ap_exp: -1 | errAexp: 0
Run_number: 3952 | Ap_exp: 0.0769231 | errAexp: 0.276528
Run_number: 3954 | Ap_exp: -0.6 | errAexp: 0.206559
Run_number: 3955 | Ap_exp: -0.142857 | errAexp: 0.21598
Run_number: 3956 | Ap_exp: -0.130435 | errAexp: 0.206733
Run_number: 3957 | Ap_exp: -0.272727 | errAexp: 0.290081
Run_number: 3959 | Ap_exp: 0.1 | errAexp: 0.222486
Run_number: 3960 | Ap_exp: -0.0909091 | errAexp: 0.300263
Run_number: 3961 | Ap_exp: 0.555556 | errAexp: 0.27716
Run_number: 3962 | Ap_exp: -0.142857 | errAexp: 0.374088
Run_number: 3963 | Ap_exp: 0.272727 | errAexp: 0.290081
Run_number: 3964 | Ap_exp: 0 | errAexp: 0.223607
Run_number: 3965 | Ap_exp: 0.25 | errAexp: 0.342327
Run_number: 3966 | Ap_exp: -0.428571 | errAexp: 0.341494
Run_number: 3967 | Ap_exp: -0.75 | errAexp: 0.233854
Run_number: 3968 | Ap_exp: 0.166667 | errAexp: 0.284638
Run_number: 3970 | Ap_exp: 0.2 | errAexp: 0.219089
Run_number: 3972 | Ap_exp: -0.142857 | errAexp: 0.26452
Run_number: 3973 | Ap_exp: -0.272727 | errAexp: 0.290081
Run_number: 3974 | Ap_exp: 0 | errAexp: 0.288675
Run_number: 3975 | Ap_exp: 0.333333 | errAexp: 0.243432
Run_number: 3976 | Ap_exp: -0.5 | errAexp: 0.306186
Run_number: 3977 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 3978 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 3980 | Ap_exp: -1 | errAexp: 0
Run_number: 3981 | Ap_exp: -1 | errAexp: 0
Run_number: 3983 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 3985 | Ap_exp: 0 | errAexp: 0.316228
Run_number: 3986 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 3996 | Ap_exp: 0.636364 | errAexp: 0.232583
Run_number: 3998 | Ap_exp: -nan | errAexp: -nan
Run_number: 4023 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 4024 | Ap_exp: -1 | errAexp: 0
Run_number: 4025 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 4027 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 4028 | Ap_exp: 0.6 | errAexp: 0.252982
Run_number: 4029 | Ap_exp: -0.428571 | errAexp: 0.341494
Run_number: 4030 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 4031 | Ap_exp: -0.384615 | errAexp: 0.256015
Run_number: 4032 | Ap_exp: 1 | errAexp: 0
Run_number: 4034 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 4035 | Ap_exp: 0.4 | errAexp: 0.289828
Run_number: 4036 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 4037 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 4038 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 4043 | Ap_exp: -0.0909091 | errAexp: 0.300263
Run_number: 4044 | Ap_exp: 0.142857 | errAexp: 0.374088
Run_number: 4046 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 4048 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 4051 | Ap_exp: 0.0526316 | errAexp: 0.229098
Run_number: 4052 | Ap_exp: 0.333333 | errAexp: 0.3849
Run_number: 4053 | Ap_exp: 0.466667 | errAexp: 0.22836
Run_number: 4054 | Ap_exp: -0.111111 | errAexp: 0.331269
Run_number: 4055 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 4056 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 4057 | Ap_exp: 0.142857 | errAexp: 0.374088
Run_number: 4058 | Ap_exp: 0.5 | errAexp: 0.433013
Run_number: 4059 | Ap_exp: 0.25 | errAexp: 0.342327
Run_number: 4060 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 4061 | Ap_exp: -1 | errAexp: 0
Run_number: 4062 | Ap_exp: -0.230769 | errAexp: 0.269864
Run_number: 4063 | Ap_exp: -0.428571 | errAexp: 0.341494
Run_number: 4064 | Ap_exp: 0.666667 | errAexp: 0.30429
Run_number: 4065 | Ap_exp: 0.714286 | errAexp: 0.26452
Run_number: 4066 | Ap_exp: 1 | errAexp: 0
Run_number: 4067 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 4068 | Ap_exp: 0.0588235 | errAexp: 0.242116
Run_number: 4069 | Ap_exp: -0.6 | errAexp: 0.357771
Run_number: 4070 | Ap_exp: 0 | errAexp: 0.707107
Run_number: 4071 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 4072 | Ap_exp: 0 | errAexp: 0.25
Run_number: 4073 | Ap_exp: -nan | errAexp: -nan
Run_number: 4074 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 4075 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 4076 | Ap_exp: -0.333333 | errAexp: 0.272166
Run_number: 4077 | Ap_exp: -0.176471 | errAexp: 0.238729
Run_number: 4078 | Ap_exp: 0.428571 | errAexp: 0.241473
Run_number: 4079 | Ap_exp: 0 | errAexp: 0.5
Run_number: 4080 | Ap_exp: 0.2 | errAexp: 0.252982
Run_number: 4081 | Ap_exp: 1 | errAexp: 0
Run_number: 4082 | Ap_exp: -0.666667 | errAexp: 0.30429
Run_number: 4083 | Ap_exp: 0.272727 | errAexp: 0.290081
Run_number: 4084 | Ap_exp: -0.777778 | errAexp: 0.209513
Run_number: 4085 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 4086 | Ap_exp: 0.25 | errAexp: 0.342327
Run_number: 4087 | Ap_exp: -0.142857 | errAexp: 0.374088
Run_number: 4088 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 4089 | Ap_exp: 1 | errAexp: 0
Run_number: 4091 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 4092 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 4093 | Ap_exp: -1 | errAexp: 0
Run_number: 4094 | Ap_exp: -1 | errAexp: 0
Run_number: 4095 | Ap_exp: -0.714286 | errAexp: 0.26452
Run_number: 4096 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 4097 | Ap_exp: 0 | errAexp: 0.5
Run_number: 4098 | Ap_exp: -0.333333 | errAexp: 0.544331
Run_number: 4099 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 4100 | Ap_exp: 0 | errAexp: 0.316228
Run_number: 4101 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 4102 | Ap_exp: 0 | errAexp: 0.5
Run_number: 4103 | Ap_exp: -1 | errAexp: 0
Run_number: 4104 | Ap_exp: -0.272727 | errAexp: 0.290081
Run_number: 4105 | Ap_exp: -0.0909091 | errAexp: 0.300263
Run_number: 4106 | Ap_exp: -1 | errAexp: 0
Run_number: 4107 | Ap_exp: 0 | errAexp: 0.5
Run_number: 4114 | Ap_exp: 1 | errAexp: 0
Run_number: 4115 | Ap_exp: 0.142857 | errAexp: 0.374088
Run_number: 4116 | Ap_exp: 1 | errAexp: 0
Run_number: 4117 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 4118 | Ap_exp: -0.111111 | errAexp: 0.331269
Run_number: 4119 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 4120 | Ap_exp: 0.473684 | errAexp: 0.202045
Run_number: 4121 | Ap_exp: -0.4 | errAexp: 0.289828
Run_number: 4122 | Ap_exp: -1 | errAexp: 0
Run_number: 4155 | Ap_exp: 1 | errAexp: 0
Run_number: 4156 | Ap_exp: -0.555556 | errAexp: 0.27716
Run_number: 4159 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 4160 | Ap_exp: -1 | errAexp: 0
Run_number: 4164 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 4165 | Ap_exp: -0.666667 | errAexp: 0.30429
Run_number: 4167 | Ap_exp: -0.0666667 | errAexp: 0.257624
Run_number: 4168 | Ap_exp: 0.75 | errAexp: 0.233854
Run_number: 4169 | Ap_exp: 0.428571 | errAexp: 0.341494
Run_number: 4170 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 4171 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 4172 | Ap_exp: 0.333333 | errAexp: 0.31427
Run_number: 4173 | Ap_exp: 0.230769 | errAexp: 0.269864
Run_number: 4174 | Ap_exp: 1 | errAexp: 0
Run_number: 4175 | Ap_exp: -0.142857 | errAexp: 0.21598
Run_number: 4176 | Ap_exp: -0.333333 | errAexp: 0.31427
Run_number: 4178 | Ap_exp: -0.384615 | errAexp: 0.256015
Run_number: 4179 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 4180 | Ap_exp: 0.0666667 | errAexp: 0.257624
Run_number: 4181 | Ap_exp: 0 | errAexp: 0.288675
Run_number: 4182 | Ap_exp: -0.0588235 | errAexp: 0.242116
Run_number: 4186 | Ap_exp: 0 | errAexp: 0.267261
Run_number: 4187 | Ap_exp: -0.142857 | errAexp: 0.26452
Run_number: 4188 | Ap_exp: 1 | errAexp: 0
Run_number: 4190 | Ap_exp: -0.333333 | errAexp: 0.31427
Run_number: 4192 | Ap_exp: -nan | errAexp: -nan
Run_number: 4194 | Ap_exp: -1 | errAexp: 0
Run_number: 4195 | Ap_exp: 0 | errAexp: 0.316228
Run_number: 4196 | Ap_exp: 0 | errAexp: 0.316228
Run_number: 4197 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 4198 | Ap_exp: -0.4 | errAexp: 0.204939
Run_number: 4199 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 4200 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 4201 | Ap_exp: -0.111111 | errAexp: 0.234243
Run_number: 4202 | Ap_exp: -1 | errAexp: 0
Run_number: 4203 | Ap_exp: -0.0588235 | errAexp: 0.242116
Run_number: 4204 | Ap_exp: 1 | errAexp: 0
Run_number: 4214 | Ap_exp: 0.0909091 | errAexp: 0.300263
Run_number: 4215 | Ap_exp: 0.6 | errAexp: 0.357771
Run_number: 4216 | Ap_exp: -0.333333 | errAexp: 0.272166
Run_number: 4217 | Ap_exp: 1 | errAexp: 0
