Run_number: 2628 | Ap_exp: 1 | errAexp: 0
Run_number: 3075 | Ap_exp: 0.0851064 | errAexp: 0.102768
Run_number: 3076 | Ap_exp: 0.0642202 | errAexp: 0.0955849
Run_number: 3077 | Ap_exp: -0.0521739 | errAexp: 0.0658482
Run_number: 3079 | Ap_exp: -0.0495868 | errAexp: 0.0642034
Run_number: 3080 | Ap_exp: -0.0280374 | errAexp: 0.0966356
Run_number: 3082 | Ap_exp: 0.00772201 | errAexp: 0.0439362
Run_number: 3089 | Ap_exp: -0.0677083 | errAexp: 0.0360016
Run_number: 3090 | Ap_exp: -0.004329 | errAexp: 0.0465238
Run_number: 3091 | Ap_exp: 0.0429907 | errAexp: 0.0431938
Run_number: 3092 | Ap_exp: -0.0762943 | errAexp: 0.0368031
Run_number: 3093 | Ap_exp: -0.0397554 | errAexp: 0.0552564
Run_number: 3108 | Ap_exp: 0.114219 | errAexp: 0.0479645
Run_number: 3109 | Ap_exp: 0.065 | errAexp: 0.0498943
Run_number: 3110 | Ap_exp: -0.0190476 | errAexp: 0.0487862
Run_number: 3111 | Ap_exp: 0.00598802 | errAexp: 0.0773809
Run_number: 3112 | Ap_exp: 0.018711 | errAexp: 0.0455881
Run_number: 3113 | Ap_exp: 0.0222222 | errAexp: 0.0496781
Run_number: 3114 | Ap_exp: 0.0661479 | errAexp: 0.0440115
Run_number: 3115 | Ap_exp: 0.00671141 | errAexp: 0.0409607
Run_number: 3116 | Ap_exp: 0.018018 | errAexp: 0.0474502
Run_number: 3117 | Ap_exp: -0.00568182 | errAexp: 0.0532993
Run_number: 3118 | Ap_exp: 0.0101523 | errAexp: 0.0503767
Run_number: 3119 | Ap_exp: -0.00275482 | errAexp: 0.0524862
Run_number: 3120 | Ap_exp: 0.0460705 | errAexp: 0.0520026
Run_number: 3121 | Ap_exp: 0.0380952 | errAexp: 0.0689565
Run_number: 3122 | Ap_exp: 0.0322581 | errAexp: 0.0497876
Run_number: 3123 | Ap_exp: 0.0310263 | errAexp: 0.0488297
Run_number: 3124 | Ap_exp: -0.0716724 | errAexp: 0.0582704
Run_number: 3126 | Ap_exp: -0.0474041 | errAexp: 0.047458
Run_number: 3127 | Ap_exp: 0.0387597 | errAexp: 0.0879789
Run_number: 3134 | Ap_exp: 0.00641026 | errAexp: 0.0400312
Run_number: 3135 | Ap_exp: -0.00344828 | errAexp: 0.0415225
Run_number: 3136 | Ap_exp: 0.00878735 | errAexp: 0.0419206
Run_number: 3138 | Ap_exp: -0.0224719 | errAexp: 0.0529865
Run_number: 3139 | Ap_exp: 0.0534351 | errAexp: 0.0872456
Run_number: 3140 | Ap_exp: 0.125628 | errAexp: 0.0703265
Run_number: 3141 | Ap_exp: -0.0542986 | errAexp: 0.047495
Run_number: 3149 | Ap_exp: -0.153846 | errAexp: 0.137024
Run_number: 3150 | Ap_exp: 0 | errAexp: 0.196116
Run_number: 3151 | Ap_exp: 0.0137741 | errAexp: 0.0524814
Run_number: 3152 | Ap_exp: 0.0249433 | errAexp: 0.0476042
Run_number: 3158 | Ap_exp: 0.0333333 | errAexp: 0.129028
Run_number: 3159 | Ap_exp: -0.0215208 | errAexp: 0.0378689
Run_number: 3160 | Ap_exp: 0.00692042 | errAexp: 0.0415935
Run_number: 3161 | Ap_exp: 0.0537262 | errAexp: 0.0415704
Run_number: 3162 | Ap_exp: 0.0189983 | errAexp: 0.0415511
Run_number: 3163 | Ap_exp: -0.0135593 | errAexp: 0.0411656
Run_number: 3164 | Ap_exp: 0.010142 | errAexp: 0.0450354
Run_number: 3165 | Ap_exp: -0.0492754 | errAexp: 0.0537728
Run_number: 3166 | Ap_exp: 0.0326531 | errAexp: 0.0451513
Run_number: 3167 | Ap_exp: -0.0110701 | errAexp: 0.042951
Run_number: 3171 | Ap_exp: -0.149701 | errAexp: 0.0765103
Run_number: 3174 | Ap_exp: -0.0185567 | errAexp: 0.0453998
Run_number: 3176 | Ap_exp: 0.0381426 | errAexp: 0.0406935
Run_number: 3177 | Ap_exp: -0.0367647 | errAexp: 0.0428457
Run_number: 3178 | Ap_exp: -0.00787402 | errAexp: 0.0443665
Run_number: 3179 | Ap_exp: -0.0206186 | errAexp: 0.0414425
Run_number: 3180 | Ap_exp: 0.0477941 | errAexp: 0.0428256
Run_number: 3181 | Ap_exp: 0.2 | errAexp: 0.117108
Run_number: 3182 | Ap_exp: 0.0434783 | errAexp: 0.0477913
Run_number: 3183 | Ap_exp: -0.0225873 | errAexp: 0.0453028
Run_number: 3184 | Ap_exp: 0.0526316 | errAexp: 0.0477702
Run_number: 3185 | Ap_exp: 0 | errAexp: 0.0491473
Run_number: 3186 | Ap_exp: 0.0445104 | errAexp: 0.0544195
Run_number: 3188 | Ap_exp: 0.0220264 | errAexp: 0.0469209
Run_number: 3190 | Ap_exp: -0.0513699 | errAexp: 0.0413257
Run_number: 3191 | Ap_exp: 0.0538642 | errAexp: 0.0483231
Run_number: 3192 | Ap_exp: -0.0509165 | errAexp: 0.0450708
Run_number: 3193 | Ap_exp: 0.0202429 | errAexp: 0.0636154
Run_number: 3194 | Ap_exp: -0.0455927 | errAexp: 0.0389435
Run_number: 3195 | Ap_exp: -0.0343643 | errAexp: 0.0414269
Run_number: 3196 | Ap_exp: 0.0107858 | errAexp: 0.0392512
Run_number: 3197 | Ap_exp: -0.0292398 | errAexp: 0.0441322
Run_number: 3198 | Ap_exp: 0.0976909 | errAexp: 0.0419434
Run_number: 3199 | Ap_exp: 0.00310559 | errAexp: 0.0394053
Run_number: 3200 | Ap_exp: 0.0480769 | errAexp: 0.0399857
Run_number: 3201 | Ap_exp: -0.015873 | errAexp: 0.0398359
Run_number: 3202 | Ap_exp: -0.0195489 | errAexp: 0.0387709
Run_number: 3203 | Ap_exp: 0.03125 | errAexp: 0.124939
Run_number: 3204 | Ap_exp: 0.0491228 | errAexp: 0.0418348
Run_number: 3205 | Ap_exp: 0.037037 | errAexp: 0.0401011
Run_number: 3212 | Ap_exp: 0.222222 | errAexp: 0.102774
Run_number: 3213 | Ap_exp: 0.0567901 | errAexp: 0.0496102
Run_number: 3214 | Ap_exp: 0.0697674 | errAexp: 0.0680333
Run_number: 3215 | Ap_exp: -0.00529101 | errAexp: 0.0419955
Run_number: 3217 | Ap_exp: 0.0537262 | errAexp: 0.0415704
Run_number: 3218 | Ap_exp: 0 | errAexp: 0.129099
Run_number: 3219 | Ap_exp: -0.0401235 | errAexp: 0.0392521
Run_number: 3220 | Ap_exp: -0.0253521 | errAexp: 0.0375173
Run_number: 3221 | Ap_exp: -0.140351 | errAexp: 0.0655711
