Run_number: 3510 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3753 Nplus : 2 Nminus : 1 | Aexp: 0.333333 | errAexp: 0.544331
Run_number: 3754 Nplus : 4 Nminus : 2 | Aexp: 0.333333 | errAexp: 0.3849
Run_number: 3755 Nplus : 6 Nminus : 5 | Aexp: 0.0909091 | errAexp: 0.300263
Run_number: 3756 Nplus : 6 Nminus : 3 | Aexp: 0.333333 | errAexp: 0.31427
Run_number: 3758 Nplus : 4 Nminus : 2 | Aexp: 0.333333 | errAexp: 0.3849
Run_number: 3759 Nplus : 4 Nminus : 2 | Aexp: 0.333333 | errAexp: 0.3849
Run_number: 3761 Nplus : 2 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3762 Nplus : 8 Nminus : 7 | Aexp: 0.0666667 | errAexp: 0.257624
Run_number: 3763 Nplus : 6 Nminus : 5 | Aexp: 0.0909091 | errAexp: 0.300263
Run_number: 3764 Nplus : 4 Nminus : 2 | Aexp: 0.333333 | errAexp: 0.3849
Run_number: 3765 Nplus : 5 Nminus : 9 | Aexp: -0.285714 | errAexp: 0.25612
Run_number: 3766 Nplus : 4 Nminus : 12 | Aexp: -0.5 | errAexp: 0.216506
Run_number: 3767 Nplus : 6 Nminus : 5 | Aexp: 0.0909091 | errAexp: 0.300263
Run_number: 3782 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3783 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3784 Nplus : 1 Nminus : 3 | Aexp: -0.5 | errAexp: 0.433013
Run_number: 3786 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
Run_number: 3787 Nplus : 3 Nminus : 2 | Aexp: 0.2 | errAexp: 0.438178
Run_number: 3788 Nplus : 2 Nminus : 4 | Aexp: -0.333333 | errAexp: 0.3849
Run_number: 3789 Nplus : 5 Nminus : 2 | Aexp: 0.428571 | errAexp: 0.341494
Run_number: 3790 Nplus : 1 Nminus : 1 | Aexp: 0 | errAexp: 0.707107
Run_number: 3791 Nplus : 7 Nminus : 3 | Aexp: 0.4 | errAexp: 0.289828
Run_number: 3792 Nplus : 0 Nminus : 0 | Aexp: -nan | errAexp: -nan
Run_number: 3795 Nplus : 1 Nminus : 0 | Aexp: 1 | errAexp: 0
Run_number: 3796 Nplus : 0 Nminus : 1 | Aexp: -1 | errAexp: 0
