Run_number: 5548 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5549 | Aexp: -1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5550 | Aexp: -0.428571 | errAexp: 0.341494 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5571 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5572 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5573 | Aexp: -0.0666667 | errAexp: 0.257624 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5574 | Aexp: 0.1 | errAexp: 0.222486 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5575 | Aexp: 0 | errAexp: 0.288675 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5576 | Aexp: 0.130435 | errAexp: 0.206733 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5577 | Aexp: 0 | errAexp: 0.267261 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5578 | Aexp: -0.333333 | errAexp: 0.272166 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5579 | Aexp: -0.4 | errAexp: 0.289828 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5580 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5581 | Aexp: 0.5 | errAexp: 0.433013 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5582 | Aexp: 0.428571 | errAexp: 0.341494 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5583 | Aexp: 0 | errAexp: 0.5 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5584 | Aexp: 0.0666667 | errAexp: 0.257624 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5586 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5589 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5592 | Aexp: -0.2 | errAexp: 0.309839 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5593 | Aexp: -0.2 | errAexp: 0.438178 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5596 | Aexp: 0.333333 | errAexp: 0.544331 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5597 | Aexp: -0.2 | errAexp: 0.309839 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5598 | Aexp: 0.142857 | errAexp: 0.26452 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5599 | Aexp: -0.0769231 | errAexp: 0.276528 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5600 | Aexp: -0.176471 | errAexp: 0.238729 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5601 | Aexp: -0.666667 | errAexp: 0.30429 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5602 | Aexp: -0.181818 | errAexp: 0.209647 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5603 | Aexp: 0 | errAexp: 0.316228 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5604 | Aexp: -0.272727 | errAexp: 0.290081 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5605 | Aexp: -0.142857 | errAexp: 0.374088 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5606 | Aexp: -0.0909091 | errAexp: 0.212318 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5608 | Aexp: -0.157895 | errAexp: 0.226538 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5609 | Aexp: -0.157895 | errAexp: 0.226538 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5611 | Aexp: 0.157895 | errAexp: 0.226538 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5612 | Aexp: 0.0769231 | errAexp: 0.195535 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5613 | Aexp: 0 | errAexp: 0.353553 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5614 | Aexp: 0.0666667 | errAexp: 0.257624 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5615 | Aexp: -1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5616 | Aexp: -0.0909091 | errAexp: 0.300263 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5617 | Aexp: 1 | errAexp: 0 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5619 | Aexp: -0.8 | errAexp: 0.189737 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5620 | Aexp: -0.368421 | errAexp: 0.213278 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5621 | Aexp: 0.555556 | errAexp: 0.27716 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5622 | Aexp: 0 | errAexp: 0.707107 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5623 | Aexp: 0.111111 | errAexp: 0.331269 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5624 | Aexp: 0 | errAexp: 0.288675 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5625 | Aexp: 0.272727 | errAexp: 0.205119 | pol_He3: -1 | pol_beam: 80.795
Run_number: 5626 | Aexp: 0.625 | errAexp: 0.195156 | pol_He3: -1 | pol_beam: 80.795
