Run_number: 5044 | Ap_exp: -1 | errAexp: 0
Run_number: 5483 | Ap_exp: 0.0909091 | errAexp: 0.150131
Run_number: 5484 | Ap_exp: -0.037037 | errAexp: 0.135989
Run_number: 5485 | Ap_exp: -0.030303 | errAexp: 0.173998
Run_number: 5486 | Ap_exp: 0.12 | errAexp: 0.198555
Run_number: 5494 | Ap_exp: 0.037037 | errAexp: 0.192318
Run_number: 5495 | Ap_exp: -0.0588235 | errAexp: 0.139786
Run_number: 5496 | Ap_exp: -0.0666667 | errAexp: 0.182168
Run_number: 5497 | Ap_exp: 0.5 | errAexp: 0.433013
Run_number: 5499 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 5501 | Ap_exp: -0.238095 | errAexp: 0.211942
Run_number: 5502 | Ap_exp: -0.0204082 | errAexp: 0.142827
Run_number: 5503 | Ap_exp: 0 | errAexp: 0.150756
Run_number: 5504 | Ap_exp: 0 | errAexp: 0.147442
Run_number: 5505 | Ap_exp: -0.0454545 | errAexp: 0.1506
Run_number: 5506 | Ap_exp: 0.0958904 | errAexp: 0.116502
Run_number: 5507 | Ap_exp: 0.0120482 | errAexp: 0.109756
Run_number: 5508 | Ap_exp: -0.0434783 | errAexp: 0.120272
Run_number: 5511 | Ap_exp: -0.0222222 | errAexp: 0.149034
Run_number: 5512 | Ap_exp: 0.0357143 | errAexp: 0.133545
Run_number: 5513 | Ap_exp: 0.0508475 | errAexp: 0.130021
Run_number: 5514 | Ap_exp: -0.0769231 | errAexp: 0.159654
Run_number: 5515 | Ap_exp: -0.181818 | errAexp: 0.12104
Run_number: 5517 | Ap_exp: 0.217391 | errAexp: 0.203528
Run_number: 5518 | Ap_exp: -0.157895 | errAexp: 0.160187
Run_number: 5519 | Ap_exp: -0.212121 | errAexp: 0.170116
Run_number: 5523 | Ap_exp: 0.135135 | errAexp: 0.162891
Run_number: 5524 | Ap_exp: 0.104478 | errAexp: 0.121501
Run_number: 5525 | Ap_exp: 0.12 | errAexp: 0.140399
Run_number: 5526 | Ap_exp: 0.1 | errAexp: 0.157321
Run_number: 5527 | Ap_exp: 0.0344828 | errAexp: 0.131228
Run_number: 5529 | Ap_exp: 0.0212766 | errAexp: 0.145832
Run_number: 5531 | Ap_exp: 0.189189 | errAexp: 0.16143
Run_number: 5532 | Ap_exp: 0.111111 | errAexp: 0.234243
Run_number: 5533 | Ap_exp: -0.555556 | errAexp: 0.27716
Run_number: 5537 | Ap_exp: -0.0714286 | errAexp: 0.1885
Run_number: 5538 | Ap_exp: 0.0909091 | errAexp: 0.300263
Run_number: 5539 | Ap_exp: 0.0943396 | errAexp: 0.136748
Run_number: 5541 | Ap_exp: -0.0322581 | errAexp: 0.126934
Run_number: 5543 | Ap_exp: 0.148936 | errAexp: 0.144238
Run_number: 5544 | Ap_exp: -0.15625 | errAexp: 0.123465
Run_number: 5545 | Ap_exp: 0.2 | errAexp: 0.195959
Run_number: 5548 | Ap_exp: 0.285714 | errAexp: 0.181104
Run_number: 5549 | Ap_exp: 0.75 | errAexp: 0.233854
Run_number: 5550 | Ap_exp: 0.133333 | errAexp: 0.180944
Run_number: 5571 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 5572 | Ap_exp: 0.173913 | errAexp: 0.145195
Run_number: 5573 | Ap_exp: -0.191489 | errAexp: 0.143166
Run_number: 5574 | Ap_exp: -0.0909091 | errAexp: 0.134282
Run_number: 5575 | Ap_exp: 0.285714 | errAexp: 0.181104
Run_number: 5576 | Ap_exp: 0.0277778 | errAexp: 0.117806
Run_number: 5577 | Ap_exp: -0.0952381 | errAexp: 0.153602
Run_number: 5578 | Ap_exp: -0.0204082 | errAexp: 0.142827
Run_number: 5579 | Ap_exp: -0.233333 | errAexp: 0.125536
Run_number: 5580 | Ap_exp: 0.285714 | errAexp: 0.181104
Run_number: 5581 | Ap_exp: 0.333333 | errAexp: 0.3849
Run_number: 5582 | Ap_exp: -0.047619 | errAexp: 0.21797
Run_number: 5583 | Ap_exp: 0.333333 | errAexp: 0.272166
Run_number: 5584 | Ap_exp: -0.219512 | errAexp: 0.152365
Run_number: 5586 | Ap_exp: 0 | errAexp: 0.171499
Run_number: 5589 | Ap_exp: 0.2 | errAexp: 0.309839
Run_number: 5592 | Ap_exp: 0.0416667 | errAexp: 0.144212
Run_number: 5593 | Ap_exp: -0.0666667 | errAexp: 0.257624
Run_number: 5596 | Ap_exp: -0.294118 | errAexp: 0.231808
Run_number: 5597 | Ap_exp: 0.027027 | errAexp: 0.164339
Run_number: 5598 | Ap_exp: -0.0857143 | errAexp: 0.168409
Run_number: 5599 | Ap_exp: 0.222222 | errAexp: 0.162499
Run_number: 5600 | Ap_exp: -0.0133333 | errAexp: 0.11546
Run_number: 5601 | Ap_exp: -0.333333 | errAexp: 0.243432
Run_number: 5602 | Ap_exp: -0.283582 | errAexp: 0.117154
Run_number: 5603 | Ap_exp: -0.302326 | errAexp: 0.145362
Run_number: 5604 | Ap_exp: 0.238095 | errAexp: 0.149866
Run_number: 5605 | Ap_exp: -0.0526316 | errAexp: 0.229098
Run_number: 5606 | Ap_exp: 0 | errAexp: 0.144338
Run_number: 5608 | Ap_exp: 0.0149254 | errAexp: 0.122156
Run_number: 5609 | Ap_exp: -0.2 | errAexp: 0.146059
Run_number: 5611 | Ap_exp: -0.0238095 | errAexp: 0.109078
Run_number: 5612 | Ap_exp: -0.0724638 | errAexp: 0.120069
Run_number: 5613 | Ap_exp: -0.111111 | errAexp: 0.165635
Run_number: 5614 | Ap_exp: -0.343284 | errAexp: 0.114745
Run_number: 5615 | Ap_exp: 0.0909091 | errAexp: 0.300263
Run_number: 5616 | Ap_exp: -0.2 | errAexp: 0.178885
Run_number: 5617 | Ap_exp: -0.272727 | errAexp: 0.205119
Run_number: 5619 | Ap_exp: -0.125 | errAexp: 0.17539
Run_number: 5620 | Ap_exp: 0.21875 | errAexp: 0.121973
Run_number: 5621 | Ap_exp: 0.0285714 | errAexp: 0.168962
Run_number: 5622 | Ap_exp: 1 | errAexp: 0
Run_number: 5623 | Ap_exp: 0 | errAexp: 0.188982
Run_number: 5624 | Ap_exp: 0.181818 | errAexp: 0.209647
Run_number: 5625 | Ap_exp: 0.047619 | errAexp: 0.125845
Run_number: 5626 | Ap_exp: -0.0344828 | errAexp: 0.131228
Run_number: 5627 | Ap_exp: -0.333333 | errAexp: 0.243432
Run_number: 5628 | Ap_exp: -0.0588235 | errAexp: 0.171202
Run_number: 5629 | Ap_exp: 0 | errAexp: 0.162221
Run_number: 5630 | Ap_exp: -0.0833333 | errAexp: 0.101707
Run_number: 5632 | Ap_exp: 0.08 | errAexp: 0.140968
Run_number: 5633 | Ap_exp: -0.0909091 | errAexp: 0.212318
Run_number: 5634 | Ap_exp: 0.166667 | errAexp: 0.164336
Run_number: 5654 | Ap_exp: -0.714286 | errAexp: 0.26452
Run_number: 5655 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 5659 | Ap_exp: -0.571429 | errAexp: 0.219328
Run_number: 5660 | Ap_exp: 0.833333 | errAexp: 0.159571
Run_number: 5661 | Ap_exp: -0.0232558 | errAexp: 0.152457
Run_number: 5663 | Ap_exp: 0.130435 | errAexp: 0.103367
Run_number: 5664 | Ap_exp: 0.0434783 | errAexp: 0.147303
Run_number: 5665 | Ap_exp: -0.0697674 | errAexp: 0.152127
Run_number: 5666 | Ap_exp: 0.155556 | errAexp: 0.147257
Run_number: 5667 | Ap_exp: -0.111111 | errAexp: 0.148148
Run_number: 5670 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 5671 | Ap_exp: 0.0196078 | errAexp: 0.140001
Run_number: 5672 | Ap_exp: -0.04 | errAexp: 0.141308
Run_number: 5673 | Ap_exp: -0.230769 | errAexp: 0.134932
Run_number: 5674 | Ap_exp: -0.0357143 | errAexp: 0.133545
Run_number: 5675 | Ap_exp: 0.142857 | errAexp: 0.26452
Run_number: 5676 | Ap_exp: -0.0666667 | errAexp: 0.14874
Run_number: 5678 | Ap_exp: -0.0285714 | errAexp: 0.168962
Run_number: 5679 | Ap_exp: -0.244444 | errAexp: 0.144549
Run_number: 5683 | Ap_exp: 0.307692 | errAexp: 0.186602
Run_number: 5685 | Ap_exp: -0.3 | errAexp: 0.213307
Run_number: 5686 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 5688 | Ap_exp: 0 | errAexp: 0.5
Run_number: 5690 | Ap_exp: 0.0196078 | errAexp: 0.140001
Run_number: 5691 | Ap_exp: 0.233333 | errAexp: 0.125536
Run_number: 5692 | Ap_exp: -0.16 | errAexp: 0.139599
Run_number: 5693 | Ap_exp: -0.111111 | errAexp: 0.148148
Run_number: 5694 | Ap_exp: 0.166667 | errAexp: 0.201269
Run_number: 5696 | Ap_exp: -0.296296 | errAexp: 0.129972
Run_number: 5697 | Ap_exp: -0.322034 | errAexp: 0.123254
Run_number: 5698 | Ap_exp: -0.0508475 | errAexp: 0.130021
Run_number: 5699 | Ap_exp: 0.444444 | errAexp: 0.211144
Run_number: 5700 | Ap_exp: 0.6 | errAexp: 0.357771
Run_number: 5702 | Ap_exp: 0.0222222 | errAexp: 0.149034
Run_number: 5703 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 5704 | Ap_exp: 0.037037 | errAexp: 0.135989
Run_number: 5705 | Ap_exp: -0.304348 | errAexp: 0.140447
Run_number: 5706 | Ap_exp: -0.16 | errAexp: 0.139599
Run_number: 5707 | Ap_exp: -0.0909091 | errAexp: 0.113489
Run_number: 5708 | Ap_exp: -0.0322581 | errAexp: 0.179512
Run_number: 5709 | Ap_exp: 0.137255 | errAexp: 0.138703
Run_number: 5710 | Ap_exp: -0.0344828 | errAexp: 0.131228
Run_number: 5711 | Ap_exp: 0.037037 | errAexp: 0.192318
Run_number: 5712 | Ap_exp: 0.0666667 | errAexp: 0.257624
Run_number: 5713 | Ap_exp: 0.0588235 | errAexp: 0.139786
Run_number: 5714 | Ap_exp: -0.1 | errAexp: 0.111243
Run_number: 5715 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 5717 | Ap_exp: -0.346154 | errAexp: 0.130102
Run_number: 5718 | Ap_exp: -0.2 | errAexp: 0.138564
Run_number: 5721 | Ap_exp: 0.0588235 | errAexp: 0.171202
Run_number: 5722 | Ap_exp: -0.0793651 | errAexp: 0.125591
Run_number: 5723 | Ap_exp: 0 | errAexp: 0.131306
Run_number: 5724 | Ap_exp: 0.0410959 | errAexp: 0.116942
Run_number: 5725 | Ap_exp: -0.0461538 | errAexp: 0.123903
Run_number: 5726 | Ap_exp: -0.36 | errAexp: 0.18659
Run_number: 5727 | Ap_exp: 0.190476 | errAexp: 0.151478
Run_number: 5728 | Ap_exp: 0.333333 | errAexp: 0.181444
Run_number: 5730 | Ap_exp: 0.047619 | errAexp: 0.125845
Run_number: 5732 | Ap_exp: -0.306122 | errAexp: 0.135999
Run_number: 5733 | Ap_exp: -0.318182 | errAexp: 0.142921
Run_number: 5734 | Ap_exp: 0.0232558 | errAexp: 0.152457
Run_number: 5735 | Ap_exp: 0.391304 | errAexp: 0.191888
Run_number: 5736 | Ap_exp: 0.230769 | errAexp: 0.269864
Run_number: 5737 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 5739 | Ap_exp: -0.0869565 | errAexp: 0.146883
Run_number: 5740 | Ap_exp: -0.16129 | errAexp: 0.177254
Run_number: 5741 | Ap_exp: 0.04 | errAexp: 0.141308
Run_number: 5742 | Ap_exp: 0 | errAexp: 0.5
Run_number: 5743 | Ap_exp: -0.0140845 | errAexp: 0.118666
Run_number: 5744 | Ap_exp: 0.169811 | errAexp: 0.135366
Run_number: 5745 | Ap_exp: 0.213483 | errAexp: 0.103556
Run_number: 5748 | Ap_exp: -0.0909091 | errAexp: 0.134282
Run_number: 5751 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 5752 | Ap_exp: 0.0652174 | errAexp: 0.104035
Run_number: 5753 | Ap_exp: 0 | errAexp: 0.25
Run_number: 5754 | Ap_exp: 0.454545 | errAexp: 0.268563
Run_number: 5755 | Ap_exp: 0.0769231 | errAexp: 0.276528
Run_number: 5756 | Ap_exp: 0.0833333 | errAexp: 0.101707
Run_number: 5757 | Ap_exp: -0.333333 | errAexp: 0.3849
Run_number: 5761 | Ap_exp: 0.164179 | errAexp: 0.120512
Run_number: 5762 | Ap_exp: -0.118644 | errAexp: 0.129269
Run_number: 5763 | Ap_exp: -0.137931 | errAexp: 0.130051
Run_number: 5764 | Ap_exp: 0.135135 | errAexp: 0.162891
Run_number: 5765 | Ap_exp: 0.0833333 | errAexp: 0.143836
Run_number: 5768 | Ap_exp: 0.111111 | errAexp: 0.13524
Run_number: 5770 | Ap_exp: 0.166667 | errAexp: 0.142319
Run_number: 5771 | Ap_exp: -0.333333 | errAexp: 0.3849
Run_number: 5773 | Ap_exp: -0.0537634 | errAexp: 0.103545
Run_number: 5778 | Ap_exp: 0.126984 | errAexp: 0.0883659
Run_number: 5779 | Ap_exp: 0.272727 | errAexp: 0.10964
Run_number: 5781 | Ap_exp: -0.0606061 | errAexp: 0.122865
Run_number: 5783 | Ap_exp: 0 | errAexp: 0.154303
Run_number: 5784 | Ap_exp: 0.151515 | errAexp: 0.12167
Run_number: 5785 | Ap_exp: 0.0169492 | errAexp: 0.0920442
Run_number: 5805 | Ap_exp: -0.125 | errAexp: 0.17539
Run_number: 5806 | Ap_exp: 0 | errAexp: 0.5
Run_number: 5807 | Ap_exp: -1 | errAexp: 0
Run_number: 5808 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 5809 | Ap_exp: 0.263158 | errAexp: 0.156504
Run_number: 5810 | Ap_exp: -0.130435 | errAexp: 0.206733
Run_number: 5811 | Ap_exp: 0.666667 | errAexp: 0.30429
Run_number: 5815 | Ap_exp: 0 | errAexp: 0.154303
Run_number: 5816 | Ap_exp: 0.0508475 | errAexp: 0.130021
Run_number: 5818 | Ap_exp: 0.222222 | errAexp: 0.13268
Run_number: 5819 | Ap_exp: -0.132075 | errAexp: 0.136157
Run_number: 5820 | Ap_exp: 0 | errAexp: 0.5
Run_number: 5821 | Ap_exp: 0.230769 | errAexp: 0.269864
Run_number: 5828 | Ap_exp: 0.0793651 | errAexp: 0.125591
Run_number: 5829 | Ap_exp: 0.152542 | errAexp: 0.128665
Run_number: 5830 | Ap_exp: -0.16129 | errAexp: 0.177254
Run_number: 5831 | Ap_exp: 0.333333 | errAexp: 0.31427
Run_number: 5832 | Ap_exp: 0.0833333 | errAexp: 0.203414
Run_number: 5837 | Ap_exp: 0.0526316 | errAexp: 0.161997
Run_number: 5838 | Ap_exp: 0 | errAexp: 0.267261
Run_number: 5839 | Ap_exp: 0.333333 | errAexp: 0.164122
Run_number: 5840 | Ap_exp: 0.108108 | errAexp: 0.115566
Run_number: 5841 | Ap_exp: 0.148936 | errAexp: 0.144238
Run_number: 5842 | Ap_exp: 0 | errAexp: 0.408248
Run_number: 5843 | Ap_exp: 1 | errAexp: 0
Run_number: 5844 | Ap_exp: 0.5 | errAexp: 0.306186
Run_number: 5852 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 5854 | Ap_exp: -0.157895 | errAexp: 0.160187
Run_number: 5856 | Ap_exp: -0.0588235 | errAexp: 0.139786
Run_number: 5858 | Ap_exp: 0.2 | errAexp: 0.138564
Run_number: 5859 | Ap_exp: -0.0545455 | errAexp: 0.134639
Run_number: 5860 | Ap_exp: 0.0422535 | errAexp: 0.118572
Run_number: 5861 | Ap_exp: 0.0434783 | errAexp: 0.120272
Run_number: 5862 | Ap_exp: 0.04 | errAexp: 0.141308
Run_number: 5863 | Ap_exp: -0.178571 | errAexp: 0.131483
Run_number: 5864 | Ap_exp: 0.0847458 | errAexp: 0.129721
Run_number: 5865 | Ap_exp: 0.117647 | errAexp: 0.120426
Run_number: 5866 | Ap_exp: -0.225806 | errAexp: 0.12372
Run_number: 5868 | Ap_exp: 0.08 | errAexp: 0.140968
Run_number: 5869 | Ap_exp: 0.0169492 | errAexp: 0.13017
Run_number: 5870 | Ap_exp: -0.133333 | errAexp: 0.127947
Run_number: 5871 | Ap_exp: 0.0285714 | errAexp: 0.119474
Run_number: 5872 | Ap_exp: 0.0666667 | errAexp: 0.182168
Run_number: 5873 | Ap_exp: 0.047619 | errAexp: 0.154128
Run_number: 5874 | Ap_exp: -0.2 | errAexp: 0.309839
Run_number: 5875 | Ap_exp: 0 | errAexp: 0.166667
Run_number: 5877 | Ap_exp: -0.0869565 | errAexp: 0.146883
Run_number: 5879 | Ap_exp: 0.12 | errAexp: 0.198555
Run_number: 5880 | Ap_exp: -0.287671 | errAexp: 0.112094
Run_number: 5881 | Ap_exp: -0.111111 | errAexp: 0.191258
Run_number: 5882 | Ap_exp: -0.015873 | errAexp: 0.125972
Run_number: 5883 | Ap_exp: 0.148936 | errAexp: 0.144238
Run_number: 5884 | Ap_exp: 0.189189 | errAexp: 0.114148
Run_number: 5885 | Ap_exp: 0.153846 | errAexp: 0.137024
Run_number: 5886 | Ap_exp: -0.0181818 | errAexp: 0.134818
Run_number: 5887 | Ap_exp: 0.0645161 | errAexp: 0.126736
Run_number: 5888 | Ap_exp: -0.0769231 | errAexp: 0.138264
Run_number: 5889 | Ap_exp: 0.0204082 | errAexp: 0.142827
Run_number: 5890 | Ap_exp: 0.169231 | errAexp: 0.122246
Run_number: 5891 | Ap_exp: -0.0625 | errAexp: 0.124756
Run_number: 5892 | Ap_exp: -0.0666667 | errAexp: 0.14874
Run_number: 5893 | Ap_exp: -0.0985915 | errAexp: 0.1181
Run_number: 5894 | Ap_exp: 0.2 | errAexp: 0.117108
Run_number: 5895 | Ap_exp: -0.0632911 | errAexp: 0.112283
Run_number: 5896 | Ap_exp: 0.191489 | errAexp: 0.143166
Run_number: 5897 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 5898 | Ap_exp: 0.25 | errAexp: 0.129387
Run_number: 5899 | Ap_exp: 0.0515464 | errAexp: 0.1014
Run_number: 5900 | Ap_exp: -0.272727 | errAexp: 0.290081
Run_number: 5901 | Ap_exp: 0.030303 | errAexp: 0.123035
Run_number: 5902 | Ap_exp: -0.214286 | errAexp: 0.184592
Run_number: 5903 | Ap_exp: 0.12 | errAexp: 0.140399
Run_number: 5904 | Ap_exp: -0.111111 | errAexp: 0.13524
Run_number: 5912 | Ap_exp: -0.2 | errAexp: 0.165616
Run_number: 5913 | Ap_exp: -1 | errAexp: 0
Run_number: 5914 | Ap_exp: -0.0196078 | errAexp: 0.140001
Run_number: 5915 | Ap_exp: -0.148148 | errAexp: 0.134581
Run_number: 5916 | Ap_exp: 0.666667 | errAexp: 0.30429
Run_number: 5917 | Ap_exp: -0.0434783 | errAexp: 0.208317
Run_number: 5918 | Ap_exp: 0.157895 | errAexp: 0.130792
Run_number: 5919 | Ap_exp: -0.0337079 | errAexp: 0.10594
Run_number: 5923 | Ap_exp: -0.191489 | errAexp: 0.143166
Run_number: 5924 | Ap_exp: -0.0666667 | errAexp: 0.257624
Run_number: 5925 | Ap_exp: -0.169811 | errAexp: 0.135366
Run_number: 5926 | Ap_exp: 0 | errAexp: 0.144338
