Run_number: 3835 | Aexp: -0.411765 | errAexp: 0.22102 | pol_He3: 48.9181 | pol_beam: 86.185
Run_number: 3836 | Aexp: -0.333333 | errAexp: 0.31427 | pol_He3: 49.0105 | pol_beam: 86.185
Run_number: 3837 | Aexp: 0.636364 | errAexp: 0.232583 | pol_He3: 49.1117 | pol_beam: 86.185
Run_number: 3838 | Aexp: 0 | errAexp: 0.316228 | pol_He3: 49.1502 | pol_beam: 86.185
Run_number: 3839 | Aexp: 0.25 | errAexp: 0.242061 | pol_He3: 49.1801 | pol_beam: 86.185
Run_number: 3840 | Aexp: 0.294118 | errAexp: 0.231808 | pol_He3: 49.2091 | pol_beam: 86.185
Run_number: 3841 | Aexp: 0.5 | errAexp: 0.306186 | pol_He3: 49.2783 | pol_beam: 86.185
Run_number: 3842 | Aexp: -0.0769231 | errAexp: 0.276528 | pol_He3: 49.3369 | pol_beam: 86.185
Run_number: 3843 | Aexp: -0.333333 | errAexp: 0.31427 | pol_He3: 49.4002 | pol_beam: 86.185
Run_number: 3844 | Aexp: 0.142857 | errAexp: 0.374088 | pol_He3: 49.6516 | pol_beam: 86.185
Run_number: 3846 | Aexp: 0.0909091 | errAexp: 0.300263 | pol_He3: 49.9109 | pol_beam: 86.185
Run_number: 3847 | Aexp: 0.0769231 | errAexp: 0.276528 | pol_He3: 50.1374 | pol_beam: 86.185
Run_number: 3848 | Aexp: 0.0909091 | errAexp: 0.300263 | pol_He3: 50.2472 | pol_beam: 86.185
Run_number: 3849 | Aexp: -0.0526316 | errAexp: 0.229098 | pol_He3: 49.7296 | pol_beam: 86.185
Run_number: 3850 | Aexp: -0.125 | errAexp: 0.248039 | pol_He3: 49.1877 | pol_beam: 86.185
Run_number: 3851 | Aexp: -0.2 | errAexp: 0.252982 | pol_He3: 48.2334 | pol_beam: 86.185
Run_number: 3852 | Aexp: -0.333333 | errAexp: 0.205738 | pol_He3: 46.2037 | pol_beam: 86.185
Run_number: 3853 | Aexp: -0.333333 | errAexp: 0.272166 | pol_He3: 44.4148 | pol_beam: 86.185
Run_number: 3854 | Aexp: -0.285714 | errAexp: 0.25612 | pol_He3: 42.2474 | pol_beam: 86.185
Run_number: 3855 | Aexp: -0.0666667 | errAexp: 0.257624 | pol_He3: 37.7063 | pol_beam: 86.185
Run_number: 3856 | Aexp: 0 | errAexp: 0.235702 | pol_He3: 35.3326 | pol_beam: 86.185
Run_number: 3857 | Aexp: -0.333333 | errAexp: 0.544331 | pol_He3: 31.6172 | pol_beam: 86.185
Run_number: 3858 | Aexp: -0.166667 | errAexp: 0.284638 | pol_He3: 29.4842 | pol_beam: 86.185
Run_number: 3859 | Aexp: -0.2 | errAexp: 0.219089 | pol_He3: 26.9729 | pol_beam: 86.185
Run_number: 3860 | Aexp: -0.333333 | errAexp: 0.3849 | pol_He3: 23.4294 | pol_beam: 86.185
Run_number: 3861 | Aexp: 0 | errAexp: 0.408248 | pol_He3: 44.8408 | pol_beam: 86.185
Run_number: 3864 | Aexp: 0.4 | errAexp: 0.289828 | pol_He3: 46.534 | pol_beam: 86.185
Run_number: 3866 | Aexp: 0.333333 | errAexp: 0.272166 | pol_He3: 47.6599 | pol_beam: 86.185
Run_number: 3868 | Aexp: 0.333333 | errAexp: 0.31427 | pol_He3: 48.2185 | pol_beam: 86.185
