Run_number: 3826 | Ap_exp: 0.0434783 | errAexp: 0.120272
Run_number: 3827 | Ap_exp: 0.0645161 | errAexp: 0.126736
Run_number: 3828 | Ap_exp: 0.0384615 | errAexp: 0.138572
Run_number: 3829 | Ap_exp: -0.244444 | errAexp: 0.144549
Run_number: 3830 | Ap_exp: -0.107692 | errAexp: 0.123313
Run_number: 3832 | Ap_exp: 0.15493 | errAexp: 0.117245
Run_number: 3833 | Ap_exp: 0.0909091 | errAexp: 0.150131
Run_number: 3835 | Ap_exp: 0.25 | errAexp: 0.129387
Run_number: 3836 | Ap_exp: -0.0149254 | errAexp: 0.122156
Run_number: 3837 | Ap_exp: -0.105263 | errAexp: 0.16132
Run_number: 3838 | Ap_exp: 0.0175439 | errAexp: 0.132433
Run_number: 3839 | Ap_exp: -0.136364 | errAexp: 0.149347
Run_number: 3840 | Ap_exp: -0.0416667 | errAexp: 0.144212
Run_number: 3841 | Ap_exp: 0.0909091 | errAexp: 0.150131
Run_number: 3842 | Ap_exp: 0.230769 | errAexp: 0.120687
Run_number: 3843 | Ap_exp: -0.111111 | errAexp: 0.13524
Run_number: 3844 | Ap_exp: 0.0909091 | errAexp: 0.134282
Run_number: 3846 | Ap_exp: -0.111111 | errAexp: 0.148148
Run_number: 3847 | Ap_exp: -0.0461538 | errAexp: 0.123903
Run_number: 3848 | Ap_exp: 0.282051 | errAexp: 0.153627
Run_number: 3849 | Ap_exp: -0.238095 | errAexp: 0.122365
Run_number: 3850 | Ap_exp: 0.185185 | errAexp: 0.133729
Run_number: 3851 | Ap_exp: 0.0107527 | errAexp: 0.103689
Run_number: 3852 | Ap_exp: -0.107143 | errAexp: 0.132861
Run_number: 3853 | Ap_exp: 0.0222222 | errAexp: 0.149034
Run_number: 3854 | Ap_exp: -0.103448 | errAexp: 0.130602
Run_number: 3855 | Ap_exp: 0.155556 | errAexp: 0.147257
Run_number: 3856 | Ap_exp: -0.134328 | errAexp: 0.121062
Run_number: 3857 | Ap_exp: 0.214286 | errAexp: 0.184592
Run_number: 3858 | Ap_exp: 0.0746269 | errAexp: 0.121829
Run_number: 3859 | Ap_exp: -0.0909091 | errAexp: 0.113489
Run_number: 3860 | Ap_exp: 0.12 | errAexp: 0.198555
Run_number: 3861 | Ap_exp: 0.473684 | errAexp: 0.202045
Run_number: 3864 | Ap_exp: 0.0612245 | errAexp: 0.142589
Run_number: 3866 | Ap_exp: -0.333333 | errAexp: 0.136083
Run_number: 3868 | Ap_exp: -0.0847458 | errAexp: 0.129721
Run_number: 3869 | Ap_exp: 0.135802 | errAexp: 0.110082
Run_number: 3878 | Ap_exp: -0.0454545 | errAexp: 0.1506
Run_number: 3880 | Ap_exp: 0.166667 | errAexp: 0.127294
Run_number: 3881 | Ap_exp: -0.0909091 | errAexp: 0.212318
Run_number: 3882 | Ap_exp: -0.275862 | errAexp: 0.126211
Run_number: 3883 | Ap_exp: 0.0649351 | errAexp: 0.11372
Run_number: 3884 | Ap_exp: 0.03125 | errAexp: 0.124939
Run_number: 3885 | Ap_exp: 0.168831 | errAexp: 0.112325
Run_number: 3889 | Ap_exp: 0.0740741 | errAexp: 0.135709
Run_number: 3890 | Ap_exp: -0.0666667 | errAexp: 0.115213
Run_number: 3923 | Ap_exp: -0.0434783 | errAexp: 0.208317
Run_number: 3924 | Ap_exp: 0.0769231 | errAexp: 0.276528
Run_number: 3926 | Ap_exp: 0.0107527 | errAexp: 0.103689
Run_number: 3927 | Ap_exp: -0.162791 | errAexp: 0.150464
Run_number: 3928 | Ap_exp: -0.111111 | errAexp: 0.13524
Run_number: 3929 | Ap_exp: 0.0869565 | errAexp: 0.146883
Run_number: 3930 | Ap_exp: 0.288889 | errAexp: 0.142715
Run_number: 3931 | Ap_exp: 0.0149254 | errAexp: 0.122156
Run_number: 3932 | Ap_exp: 0.0704225 | errAexp: 0.118384
Run_number: 3933 | Ap_exp: -0.0149254 | errAexp: 0.122156
Run_number: 3934 | Ap_exp: -0.26087 | errAexp: 0.142337
Run_number: 3935 | Ap_exp: -0.0666667 | errAexp: 0.14874
Run_number: 3936 | Ap_exp: 0.015873 | errAexp: 0.125972
Run_number: 3937 | Ap_exp: 0.107692 | errAexp: 0.123313
Run_number: 3938 | Ap_exp: 0.25 | errAexp: 0.197642
Run_number: 3939 | Ap_exp: -0.0769231 | errAexp: 0.159654
Run_number: 3940 | Ap_exp: 0.101449 | errAexp: 0.119765
Run_number: 3941 | Ap_exp: -0.010989 | errAexp: 0.104822
Run_number: 3942 | Ap_exp: -0.16 | errAexp: 0.139599
Run_number: 3944 | Ap_exp: 0 | errAexp: 0.171499
Run_number: 3945 | Ap_exp: 0.0769231 | errAexp: 0.276528
Run_number: 3946 | Ap_exp: 0.114286 | errAexp: 0.11874
Run_number: 3947 | Ap_exp: -0.115385 | errAexp: 0.137749
Run_number: 3948 | Ap_exp: 0.0714286 | errAexp: 0.10883
Run_number: 3951 | Ap_exp: 0.6 | errAexp: 0.357771
Run_number: 3952 | Ap_exp: -0.215686 | errAexp: 0.136732
Run_number: 3954 | Ap_exp: -0.130435 | errAexp: 0.119357
Run_number: 3955 | Ap_exp: -0.2 | errAexp: 0.113137
Run_number: 3956 | Ap_exp: -0.0133333 | errAexp: 0.11546
Run_number: 3957 | Ap_exp: -0.0909091 | errAexp: 0.134282
Run_number: 3959 | Ap_exp: 0.0447761 | errAexp: 0.122047
