Run_number: 3112 | Aphy: -0.848271 | errAphy: 0.563792
Run_number: 3113 | Aphy: -0.309363 | errAphy: 0.651702
Run_number: 3114 | Aphy: 2.17932 | errAphy: 0.541271
Run_number: 3115 | Aphy: -0.124659 | errAphy: 0.551273
Run_number: 3116 | Aphy: 0.176345 | errAphy: 0.647416
Run_number: 3117 | Aphy: 0.479 | errAphy: 0.651816
Run_number: 3118 | Aphy: -0.83751 | errAphy: 0.641284
Run_number: 3119 | Aphy: -0.0190882 | errAphy: 0.694375
Run_number: 3120 | Aphy: -1.66479 | errAphy: 0.647832
Run_number: 3121 | Aphy: 0.823112 | errAphy: 0.855096
Run_number: 3122 | Aphy: 0.147352 | errAphy: 0.603469
Run_number: 3123 | Aphy: -0.0583692 | errAphy: 0.584668
Run_number: 3124 | Aphy: 0.289988 | errAphy: 0.733795
Run_number: 3126 | Aphy: 0.947993 | errAphy: 0.601249
Run_number: 3127 | Aphy: -0.13193 | errAphy: 0.989835
Run_number: 3134 | Aphy: -0.199491 | errAphy: 0.510221
Run_number: 3135 | Aphy: 0.85077 | errAphy: 0.515299
Run_number: 3136 | Aphy: 0.451751 | errAphy: 0.537132
Run_number: 3138 | Aphy: 0.0400855 | errAphy: 0.708928
Run_number: 3139 | Aphy: -1.56475 | errAphy: 1.02923
Run_number: 3140 | Aphy: 1.55309 | errAphy: 0.926749
Run_number: 3141 | Aphy: 0.152048 | errAphy: 0.603921
Run_number: 3149 | Aphy: -1.5727 | errAphy: 1.79172
Run_number: 3150 | Aphy: -2.86881 | errAphy: 1.47173
Run_number: 3151 | Aphy: 0.614821 | errAphy: 0.701305
Run_number: 3152 | Aphy: 0.154915 | errAphy: 0.546225
Run_number: 3158 | Aphy: -1.41135 | errAphy: 1.53016
Run_number: 3159 | Aphy: 0.168251 | errAphy: 0.484342
Run_number: 3160 | Aphy: 0.442315 | errAphy: 0.557297
Run_number: 3161 | Aphy: 0.18489 | errAphy: 0.546554
Run_number: 3162 | Aphy: 0.424225 | errAphy: 0.548566
Run_number: 3163 | Aphy: 1.05955 | errAphy: 0.571023
Run_number: 3164 | Aphy: 0.244194 | errAphy: 0.53924
Run_number: 3165 | Aphy: -0.512039 | errAphy: 0.656352
Run_number: 3166 | Aphy: -0.823978 | errAphy: 0.561951
Run_number: 3167 | Aphy: 0.705674 | errAphy: 0.544846
Run_number: 3171 | Aphy: -1.78245 | errAphy: 0.854482
Run_number: 3174 | Aphy: 0.207826 | errAphy: 0.573514
Run_number: 3176 | Aphy: -0.0192777 | errAphy: 0.560725
Run_number: 3177 | Aphy: 0.376048 | errAphy: 0.536763
Run_number: 3178 | Aphy: 0.194563 | errAphy: 0.558882
Run_number: 3179 | Aphy: 0.013074 | errAphy: 0.533333
Run_number: 3180 | Aphy: 0.60632 | errAphy: 0.536719
Run_number: 3181 | Aphy: 2.32546 | errAphy: 1.54725
Run_number: 3182 | Aphy: 0.744853 | errAphy: 0.56275
Run_number: 3183 | Aphy: 0.705933 | errAphy: 0.608661
Run_number: 3184 | Aphy: 0.17006 | errAphy: 0.641517
Run_number: 3185 | Aphy: 0.275802 | errAphy: 0.602641
Run_number: 3186 | Aphy: -0.430753 | errAphy: 0.763767
Run_number: 3188 | Aphy: 0.900417 | errAphy: 0.593269
Run_number: 3190 | Aphy: 0.69474 | errAphy: 0.512647
Run_number: 3191 | Aphy: 1.59596 | errAphy: 0.589969
Run_number: 3192 | Aphy: -0.208344 | errAphy: 0.566484
Run_number: 3193 | Aphy: -0.0883967 | errAphy: 0.767843
Run_number: 3194 | Aphy: -0.104646 | errAphy: 0.49357
Run_number: 3195 | Aphy: 0.289357 | errAphy: 0.513565
Run_number: 3196 | Aphy: -0.68708 | errAphy: 0.497481
Run_number: 3197 | Aphy: 0.62965 | errAphy: 0.554237
Run_number: 3198 | Aphy: -0.238278 | errAphy: 0.519394
Run_number: 3199 | Aphy: 0.327596 | errAphy: 0.480362
Run_number: 3200 | Aphy: 0.452504 | errAphy: 0.506484
Run_number: 3201 | Aphy: 0.451451 | errAphy: 0.478744
Run_number: 3202 | Aphy: 0.521141 | errAphy: 0.52612
Run_number: 3203 | Aphy: -2.09362 | errAphy: 1.30573
Run_number: 3204 | Aphy: 0.135206 | errAphy: 0.517196
Run_number: 3205 | Aphy: 0.665006 | errAphy: 0.507622
Run_number: 3212 | Aphy: -2.58415 | errAphy: 1.42946
Run_number: 3213 | Aphy: 0.202638 | errAphy: 0.622642
Run_number: 3214 | Aphy: 0.0641408 | errAphy: 0.854751
Run_number: 3215 | Aphy: 1.15553 | errAphy: 0.53149
Run_number: 3217 | Aphy: -0.227038 | errAphy: 0.512501
Run_number: 3218 | Aphy: -0.541266 | errAphy: 1.5185
Run_number: 3219 | Aphy: 0.394759 | errAphy: 0.529676
Run_number: 3220 | Aphy: -0.954304 | errAphy: 0.481783
Run_number: 3221 | Aphy: 0.198022 | errAphy: 0.796571
Run_number: 3222 | Aphy: 0.271445 | errAphy: 0.424052
Run_number: 3223 | Aphy: 0.0933733 | errAphy: 0.490973
Run_number: 3224 | Aphy: 1.24243 | errAphy: 0.982319
Run_number: 3225 | Aphy: -0.214086 | errAphy: 0.48988
Run_number: 3226 | Aphy: -0.0433065 | errAphy: 0.458213
Run_number: 3227 | Aphy: -1.66922 | errAphy: 1.3123
Run_number: 3228 | Aphy: -0.163707 | errAphy: 0.501515
Run_number: 3229 | Aphy: -0.24895 | errAphy: 0.497721
Run_number: 3230 | Aphy: 0.497594 | errAphy: 0.492554
Run_number: 3231 | Aphy: 0.21512 | errAphy: 0.786899
Run_number: 3239 | Aphy: -0.636925 | errAphy: 1.11298
Run_number: 3240 | Aphy: -0.0179208 | errAphy: 0.587621
Run_number: 3241 | Aphy: 0.841552 | errAphy: 0.577193
Run_number: 3242 | Aphy: -0.743408 | errAphy: 0.593349
Run_number: 3243 | Aphy: 0.0420398 | errAphy: 0.714093
Run_number: 3244 | Aphy: 0.983834 | errAphy: 0.604434
Run_number: 3245 | Aphy: -0.38799 | errAphy: 0.589801
Run_number: 3246 | Aphy: -0.481593 | errAphy: 0.659709
Run_number: 3247 | Aphy: -0.324252 | errAphy: 0.568776
Run_number: 3248 | Aphy: -1.67234 | errAphy: 0.629221
Run_number: 3249 | Aphy: -2.33861 | errAphy: 1.51936
