Run_number: 5496 | Ap_exp: 0.0526316 | errAexp: 0.161997
Run_number: 5497 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 5499 | Ap_exp: 0.571429 | errAexp: 0.219328
Run_number: 5501 | Ap_exp: -0.212121 | errAexp: 0.170116
Run_number: 5502 | Ap_exp: 0.1875 | errAexp: 0.122783
Run_number: 5503 | Ap_exp: 0.0169492 | errAexp: 0.13017
Run_number: 5504 | Ap_exp: 0 | errAexp: 0.127
Run_number: 5505 | Ap_exp: -0.114286 | errAexp: 0.11874
Run_number: 5506 | Ap_exp: -0.0420168 | errAexp: 0.0915889
Run_number: 5507 | Ap_exp: 0 | errAexp: 0.0877058
Run_number: 5508 | Ap_exp: 0.047619 | errAexp: 0.0974793
Run_number: 5511 | Ap_exp: -0.169231 | errAexp: 0.122246
Run_number: 5512 | Ap_exp: -0.0243902 | errAexp: 0.110399
Run_number: 5513 | Ap_exp: -0.0588235 | errAexp: 0.108277
Run_number: 5514 | Ap_exp: -0.0526316 | errAexp: 0.13227
Run_number: 5515 | Ap_exp: -0.0232558 | errAexp: 0.107804
Run_number: 5517 | Ap_exp: 0.214286 | errAexp: 0.184592
Run_number: 5518 | Ap_exp: -0.0769231 | errAexp: 0.138264
Run_number: 5519 | Ap_exp: -0.142857 | errAexp: 0.141392
Run_number: 5523 | Ap_exp: 0.0322581 | errAexp: 0.126934
Run_number: 5524 | Ap_exp: 0.170732 | errAexp: 0.10881
Run_number: 5525 | Ap_exp: 0.0422535 | errAexp: 0.118572
Run_number: 5526 | Ap_exp: 0.0793651 | errAexp: 0.125591
Run_number: 5527 | Ap_exp: 0.0117647 | errAexp: 0.108458
Run_number: 5529 | Ap_exp: 0.075 | errAexp: 0.111489
Run_number: 5531 | Ap_exp: 0.0149254 | errAexp: 0.122156
Run_number: 5532 | Ap_exp: -0.0555556 | errAexp: 0.166409
Run_number: 5533 | Ap_exp: -0.176471 | errAexp: 0.238729
Run_number: 5537 | Ap_exp: 0.05 | errAexp: 0.157916
Run_number: 5538 | Ap_exp: 0.047619 | errAexp: 0.21797
Run_number: 5539 | Ap_exp: -0.105263 | errAexp: 0.114071
Run_number: 5541 | Ap_exp: -0.0561798 | errAexp: 0.105832
Run_number: 5543 | Ap_exp: 0.0724638 | errAexp: 0.120069
Run_number: 5544 | Ap_exp: -0.142857 | errAexp: 0.112792
Run_number: 5545 | Ap_exp: 0.16129 | errAexp: 0.177254
Run_number: 5548 | Ap_exp: 0.272727 | errAexp: 0.145041
Run_number: 5549 | Ap_exp: 0.714286 | errAexp: 0.26452
Run_number: 5550 | Ap_exp: 0.272727 | errAexp: 0.145041
Run_number: 5571 | Ap_exp: 0.0434783 | errAexp: 0.208317
Run_number: 5572 | Ap_exp: 0.0149254 | errAexp: 0.122156
Run_number: 5573 | Ap_exp: -0.0133333 | errAexp: 0.11546
Run_number: 5574 | Ap_exp: -0.164557 | errAexp: 0.110975
Run_number: 5575 | Ap_exp: -0.0909091 | errAexp: 0.150131
Run_number: 5576 | Ap_exp: -0.0989011 | errAexp: 0.104315
Run_number: 5577 | Ap_exp: -0.180328 | errAexp: 0.125938
Run_number: 5578 | Ap_exp: 0.15 | errAexp: 0.110538
Run_number: 5579 | Ap_exp: 0.060241 | errAexp: 0.109565
Run_number: 5580 | Ap_exp: 0.0638298 | errAexp: 0.145568
Run_number: 5581 | Ap_exp: 0 | errAexp: 0.316228
Run_number: 5582 | Ap_exp: 0.0344828 | errAexp: 0.185585
Run_number: 5583 | Ap_exp: 0 | errAexp: 0.267261
Run_number: 5584 | Ap_exp: -0.181818 | errAexp: 0.12104
Run_number: 5586 | Ap_exp: 0.0869565 | errAexp: 0.146883
Run_number: 5589 | Ap_exp: 0 | errAexp: 0.267261
Run_number: 5592 | Ap_exp: 0.125 | errAexp: 0.12402
Run_number: 5593 | Ap_exp: -0.037037 | errAexp: 0.192318
Run_number: 5596 | Ap_exp: -0.333333 | errAexp: 0.172133
Run_number: 5597 | Ap_exp: -0.0740741 | errAexp: 0.135709
Run_number: 5598 | Ap_exp: 0.0434783 | errAexp: 0.147303
Run_number: 5599 | Ap_exp: 0.0204082 | errAexp: 0.142827
Run_number: 5600 | Ap_exp: -0.102804 | errAexp: 0.0961614
Run_number: 5601 | Ap_exp: 0 | errAexp: 0.204124
Run_number: 5602 | Ap_exp: -0.175258 | errAexp: 0.0999631
Run_number: 5603 | Ap_exp: -0.307692 | errAexp: 0.131947
Run_number: 5604 | Ap_exp: 0.0277778 | errAexp: 0.117806
Run_number: 5605 | Ap_exp: -0.0666667 | errAexp: 0.182168
Run_number: 5606 | Ap_exp: 0.0632911 | errAexp: 0.112283
Run_number: 5608 | Ap_exp: 0.133333 | errAexp: 0.104468
Run_number: 5609 | Ap_exp: -0.133333 | errAexp: 0.127947
Run_number: 5611 | Ap_exp: 0.0338983 | errAexp: 0.0920046
Run_number: 5612 | Ap_exp: -0.00917431 | errAexp: 0.0957786
Run_number: 5613 | Ap_exp: -0.22807 | errAexp: 0.128962
Run_number: 5614 | Ap_exp: -0.195652 | errAexp: 0.102242
Run_number: 5615 | Ap_exp: -0.142857 | errAexp: 0.26452
Run_number: 5616 | Ap_exp: -0.319149 | errAexp: 0.138237
Run_number: 5617 | Ap_exp: -0.172414 | errAexp: 0.182914
Run_number: 5619 | Ap_exp: -0.0666667 | errAexp: 0.128812
Run_number: 5620 | Ap_exp: 0.237113 | errAexp: 0.0986391
Run_number: 5621 | Ap_exp: 0.0204082 | errAexp: 0.142827
Run_number: 5622 | Ap_exp: 0.142857 | errAexp: 0.374088
Run_number: 5623 | Ap_exp: 0.176471 | errAexp: 0.13783
Run_number: 5624 | Ap_exp: 0.44 | errAexp: 0.1796
Run_number: 5625 | Ap_exp: -0.1 | errAexp: 0.0994987
Run_number: 5626 | Ap_exp: -0.0465116 | errAexp: 0.107716
Run_number: 5627 | Ap_exp: -0.2 | errAexp: 0.219089
Run_number: 5628 | Ap_exp: -0.0819672 | errAexp: 0.127606
Run_number: 5629 | Ap_exp: 0.0163934 | errAexp: 0.12802
Run_number: 5630 | Ap_exp: 0.0894309 | errAexp: 0.0898057
Run_number: 5632 | Ap_exp: -0.113924 | errAexp: 0.111776
Run_number: 5633 | Ap_exp: -0.0967742 | errAexp: 0.178762
Run_number: 5634 | Ap_exp: 0.0909091 | errAexp: 0.150131
Run_number: 5654 | Ap_exp: -0.454545 | errAexp: 0.268563
Run_number: 5655 | Ap_exp: 0.181818 | errAexp: 0.209647
Run_number: 5659 | Ap_exp: -0.176471 | errAexp: 0.168807
Run_number: 5660 | Ap_exp: 0.52381 | errAexp: 0.185886
Run_number: 5661 | Ap_exp: 0.037037 | errAexp: 0.135989
Run_number: 5663 | Ap_exp: 0.0344828 | errAexp: 0.0927925
Run_number: 5664 | Ap_exp: 0.0344828 | errAexp: 0.131228
Run_number: 5665 | Ap_exp: -0.0333333 | errAexp: 0.129028
Run_number: 5666 | Ap_exp: 0.147059 | errAexp: 0.119949
Run_number: 5667 | Ap_exp: -0.134328 | errAexp: 0.121062
Run_number: 5670 | Ap_exp: 0.25 | errAexp: 0.342327
Run_number: 5671 | Ap_exp: 0.0491803 | errAexp: 0.127882
Run_number: 5672 | Ap_exp: 0.012987 | errAexp: 0.113951
Run_number: 5673 | Ap_exp: -0.0786517 | errAexp: 0.105671
Run_number: 5674 | Ap_exp: 0.1 | errAexp: 0.128452
Run_number: 5675 | Ap_exp: 0.0588235 | errAexp: 0.242116
Run_number: 5676 | Ap_exp: -0.101449 | errAexp: 0.119765
Run_number: 5678 | Ap_exp: -0.037037 | errAexp: 0.135989
Run_number: 5679 | Ap_exp: -0.176471 | errAexp: 0.119365
Run_number: 5683 | Ap_exp: 0.162791 | errAexp: 0.150464
Run_number: 5685 | Ap_exp: -0.333333 | errAexp: 0.172133
Run_number: 5686 | Ap_exp: 0 | errAexp: 0.288675
Run_number: 5688 | Ap_exp: -0.333333 | errAexp: 0.31427
Run_number: 5690 | Ap_exp: 0.15942 | errAexp: 0.118846
Run_number: 5691 | Ap_exp: 0.283951 | errAexp: 0.106538
Run_number: 5692 | Ap_exp: -0.142857 | errAexp: 0.112792
Run_number: 5693 | Ap_exp: -0.0447761 | errAexp: 0.122047
Run_number: 5694 | Ap_exp: -0.170732 | errAexp: 0.153881
Run_number: 5696 | Ap_exp: -0.295775 | errAexp: 0.113368
Run_number: 5697 | Ap_exp: -0.037037 | errAexp: 0.111035
Run_number: 5698 | Ap_exp: -0.121951 | errAexp: 0.109607
Run_number: 5699 | Ap_exp: 0.243243 | errAexp: 0.159461
Run_number: 5700 | Ap_exp: 0.411765 | errAexp: 0.22102
Run_number: 5702 | Ap_exp: 0.0526316 | errAexp: 0.114549
Run_number: 5703 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 5704 | Ap_exp: -0.0140845 | errAexp: 0.118666
Run_number: 5705 | Ap_exp: -0.266667 | errAexp: 0.124425
Run_number: 5706 | Ap_exp: 0.015873 | errAexp: 0.125972
Run_number: 5707 | Ap_exp: 0.0526316 | errAexp: 0.0935288
Run_number: 5708 | Ap_exp: -0.0454545 | errAexp: 0.1506
Run_number: 5709 | Ap_exp: 0.176471 | errAexp: 0.119365
Run_number: 5710 | Ap_exp: -0.0322581 | errAexp: 0.103641
Run_number: 5711 | Ap_exp: 0.0416667 | errAexp: 0.144212
Run_number: 5712 | Ap_exp: 0.28 | errAexp: 0.192
Run_number: 5713 | Ap_exp: -0.0882353 | errAexp: 0.120795
Run_number: 5714 | Ap_exp: -0.0677966 | errAexp: 0.0918457
Run_number: 5715 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 5717 | Ap_exp: -0.223529 | errAexp: 0.105721
Run_number: 5718 | Ap_exp: -0.0958904 | errAexp: 0.116502
Run_number: 5721 | Ap_exp: -0.027027 | errAexp: 0.164339
Run_number: 5722 | Ap_exp: -0.0238095 | errAexp: 0.109078
Run_number: 5723 | Ap_exp: -0.0123457 | errAexp: 0.111103
Run_number: 5724 | Ap_exp: -0.129412 | errAexp: 0.107553
Run_number: 5725 | Ap_exp: 0.0843373 | errAexp: 0.109373
Run_number: 5726 | Ap_exp: -0.257143 | errAexp: 0.163347
Run_number: 5727 | Ap_exp: 0.0909091 | errAexp: 0.134282
Run_number: 5728 | Ap_exp: 0.333333 | errAexp: 0.164122
Run_number: 5730 | Ap_exp: 0.157895 | errAexp: 0.113269
Run_number: 5732 | Ap_exp: 0.0724638 | errAexp: 0.120069
Run_number: 5733 | Ap_exp: -0.0322581 | errAexp: 0.126934
Run_number: 5734 | Ap_exp: -0.0689655 | errAexp: 0.130994
Run_number: 5735 | Ap_exp: 0.5 | errAexp: 0.163663
Run_number: 5736 | Ap_exp: 0.0833333 | errAexp: 0.203414
Run_number: 5737 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 5739 | Ap_exp: 0 | errAexp: 0.125
Run_number: 5740 | Ap_exp: -0.215686 | errAexp: 0.136732
Run_number: 5741 | Ap_exp: 0.111111 | errAexp: 0.125208
Run_number: 5742 | Ap_exp: 0.333333 | errAexp: 0.3849
Run_number: 5743 | Ap_exp: -0.0444444 | errAexp: 0.105305
Run_number: 5744 | Ap_exp: 0.0487805 | errAexp: 0.1103
Run_number: 5745 | Ap_exp: 0.125 | errAexp: 0.0876951
Run_number: 5748 | Ap_exp: -0.179487 | errAexp: 0.111389
Run_number: 5751 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 5752 | Ap_exp: 0.0406504 | errAexp: 0.0900924
Run_number: 5753 | Ap_exp: -0.047619 | errAexp: 0.21797
Run_number: 5754 | Ap_exp: 0.529412 | errAexp: 0.205759
Run_number: 5755 | Ap_exp: 0.3 | errAexp: 0.213307
Run_number: 5756 | Ap_exp: 0.186992 | errAexp: 0.0885765
Run_number: 5757 | Ap_exp: -0.666667 | errAexp: 0.30429
Run_number: 5761 | Ap_exp: 0.0549451 | errAexp: 0.10467
Run_number: 5762 | Ap_exp: -0.0930233 | errAexp: 0.107365
Run_number: 5763 | Ap_exp: -0.0967742 | errAexp: 0.126404
Run_number: 5764 | Ap_exp: 0.192308 | errAexp: 0.136087
Run_number: 5765 | Ap_exp: 0.148148 | errAexp: 0.134581
Run_number: 5768 | Ap_exp: 0.195122 | errAexp: 0.108309
Run_number: 5770 | Ap_exp: 0 | errAexp: 0.125
Run_number: 5771 | Ap_exp: 0 | errAexp: 0.353553
Run_number: 5773 | Ap_exp: 0.046875 | errAexp: 0.0882912
Run_number: 5778 | Ap_exp: 0.0650888 | errAexp: 0.07676
Run_number: 5779 | Ap_exp: 0.0869565 | errAexp: 0.103862
Run_number: 5781 | Ap_exp: -0.153846 | errAexp: 0.137024
Run_number: 5783 | Ap_exp: -0.0666667 | errAexp: 0.128812
Run_number: 5784 | Ap_exp: 0.0222222 | errAexp: 0.105383
Run_number: 5785 | Ap_exp: -0.0409357 | errAexp: 0.0764078
Run_number: 5805 | Ap_exp: -nan | errAexp: -nan
Run_number: 5806 | Ap_exp: -nan | errAexp: -nan
