Run_number: 3018 | Aphy: -0.000282483 | errAphy: 0.000203946
Run_number: 3019 | Aphy: 0.000526783 | errAphy: 0.000164569
Run_number: 3020 | Aphy: -1.01134e-06 | errAphy: 0.000165807
Run_number: 3021 | Aphy: -6.43834e-05 | errAphy: 0.000148026
Run_number: 3022 | Aphy: 0.000229351 | errAphy: 0.000376152
Run_number: 3024 | Aphy: -0.000172529 | errAphy: 0.000234895
Run_number: 3025 | Aphy: -4.09536e-05 | errAphy: 0.000164542
Run_number: 3026 | Aphy: 0.000166513 | errAphy: 0.000162158
Run_number: 3027 | Aphy: 3.66143e-05 | errAphy: 0.000112587
Run_number: 3028 | Aphy: 0.000134763 | errAphy: 0.000112403
Run_number: 3029 | Aphy: -0.00055699 | errAphy: 0.000117808
Run_number: 3030 | Aphy: -2.14999e-05 | errAphy: 0.000121052
Run_number: 3035 | Aphy: -1.01749e-06 | errAphy: 0.00010435
Run_number: 3036 | Aphy: -0.000132183 | errAphy: 0.000133953
Run_number: 3037 | Aphy: -1.01835e-06 | errAphy: 0.000250435
Run_number: 3038 | Aphy: 1.53259e-05 | errAphy: 0.000109893
Run_number: 3039 | Aphy: -0.000104598 | errAphy: 0.000271174
Run_number: 3043 | Aphy: -9.5458e-05 | errAphy: 0.000128162
Run_number: 3045 | Aphy: 0.000104692 | errAphy: 0.000110162
Run_number: 3046 | Aphy: -3.44841e-05 | errAphy: 0.000153221
Run_number: 3047 | Aphy: -0.000704179 | errAphy: 0
Run_number: 3048 | Aphy: -1.7403e-05 | errAphy: 0.000107446
Run_number: 3049 | Aphy: -1.84268e-05 | errAphy: 0.000111388
Run_number: 3050 | Aphy: -1.55434e-05 | errAphy: 0.000101622
Run_number: 3051 | Aphy: -0.000116761 | errAphy: 0.000106975
Run_number: 3052 | Aphy: -0.000155504 | errAphy: 0.000144631
Run_number: 3054 | Aphy: -0.000474974 | errAphy: 0.000152967
Run_number: 3055 | Aphy: 0.000142388 | errAphy: 0.000222183
Run_number: 3058 | Aphy: -0.000121639 | errAphy: 0.000145637
Run_number: 3059 | Aphy: 0.000329865 | errAphy: 0.000161916
Run_number: 3061 | Aphy: -1.00492e-06 | errAphy: 0.000174749
Run_number: 3062 | Aphy: 3.17854e-05 | errAphy: 0.000106082
Run_number: 3063 | Aphy: 1.95313e-05 | errAphy: 8.32498e-05
Run_number: 3064 | Aphy: -5.62825e-05 | errAphy: 0.000135054
Run_number: 3065 | Aphy: -9.53022e-07 | errAphy: 0.000148229
Run_number: 3068 | Aphy: -0.000139201 | errAphy: 0.000135415
