Run_number: 3836 | Ap_exp: -0.22449 | errAexp: 0.139211
Run_number: 3837 | Ap_exp: -0.0666667 | errAexp: 0.182168
Run_number: 3838 | Ap_exp: 0.0612245 | errAexp: 0.142589
Run_number: 3839 | Ap_exp: -0.0857143 | errAexp: 0.168409
Run_number: 3840 | Ap_exp: -0.111111 | errAexp: 0.165635
Run_number: 3841 | Ap_exp: 0.0810811 | errAexp: 0.163858
Run_number: 3842 | Ap_exp: 0.25 | errAexp: 0.139754
Run_number: 3843 | Ap_exp: -0.0952381 | errAexp: 0.153602
Run_number: 3844 | Ap_exp: 0.136364 | errAexp: 0.149347
Run_number: 3846 | Ap_exp: -0.105263 | errAexp: 0.16132
Run_number: 3847 | Ap_exp: 0 | errAexp: 0.141421
Run_number: 3848 | Ap_exp: 0.354839 | errAexp: 0.167918
Run_number: 3849 | Ap_exp: -0.28 | errAexp: 0.135765
Run_number: 3850 | Ap_exp: 0.25 | errAexp: 0.139754
Run_number: 3851 | Ap_exp: -0.0144928 | errAexp: 0.120373
Run_number: 3852 | Ap_exp: -0.121951 | errAexp: 0.155008
Run_number: 3853 | Ap_exp: 0 | errAexp: 0.188982
Run_number: 3854 | Ap_exp: -0.0612245 | errAexp: 0.142589
Run_number: 3855 | Ap_exp: 0.142857 | errAexp: 0.167297
Run_number: 3856 | Ap_exp: -0.12 | errAexp: 0.140399
Run_number: 3857 | Ap_exp: 0.0526316 | errAexp: 0.229098
Run_number: 3858 | Ap_exp: 0.0416667 | errAexp: 0.144212
Run_number: 3859 | Ap_exp: 0 | errAexp: 0.123091
Run_number: 3860 | Ap_exp: 0.176471 | errAexp: 0.238729
Run_number: 3861 | Ap_exp: 0.5 | errAexp: 0.216506
Run_number: 3864 | Ap_exp: -0.0731707 | errAexp: 0.155755
Run_number: 3866 | Ap_exp: -0.2 | errAexp: 0.154919
Run_number: 3868 | Ap_exp: -0.302326 | errAexp: 0.145362
Run_number: 3869 | Ap_exp: 0.127273 | errAexp: 0.133743
Run_number: 3878 | Ap_exp: 0.0555556 | errAexp: 0.166409
Run_number: 3880 | Ap_exp: 0.155556 | errAexp: 0.147257
Run_number: 3881 | Ap_exp: -0.0526316 | errAexp: 0.229098
Run_number: 3882 | Ap_exp: -0.263158 | errAexp: 0.156504
Run_number: 3883 | Ap_exp: 0.0833333 | errAexp: 0.143836
Run_number: 3884 | Ap_exp: 0.047619 | errAexp: 0.154128
Run_number: 3885 | Ap_exp: 0.166667 | errAexp: 0.127294
Run_number: 3889 | Ap_exp: -0.0416667 | errAexp: 0.144212
Run_number: 3890 | Ap_exp: 0.142857 | errAexp: 0.13226
Run_number: 3923 | Ap_exp: -0.0526316 | errAexp: 0.229098
Run_number: 3924 | Ap_exp: 0.2 | errAexp: 0.309839
Run_number: 3926 | Ap_exp: -0.107143 | errAexp: 0.132861
Run_number: 3927 | Ap_exp: 0 | errAexp: 0.176777
Run_number: 3928 | Ap_exp: -0.125 | errAexp: 0.143205
Run_number: 3929 | Ap_exp: 0.105263 | errAexp: 0.16132
Run_number: 3930 | Ap_exp: 0.189189 | errAexp: 0.16143
Run_number: 3931 | Ap_exp: -0.0769231 | errAexp: 0.138264
Run_number: 3932 | Ap_exp: 0.0588235 | errAexp: 0.139786
Run_number: 3933 | Ap_exp: -0.137255 | errAexp: 0.138703
Run_number: 3934 | Ap_exp: -0.368421 | errAexp: 0.150811
Run_number: 3935 | Ap_exp: -0.135135 | errAexp: 0.162891
Run_number: 3936 | Ap_exp: 0.106383 | errAexp: 0.145037
Run_number: 3937 | Ap_exp: 0.12 | errAexp: 0.140399
Run_number: 3938 | Ap_exp: 0.263158 | errAexp: 0.221329
Run_number: 3939 | Ap_exp: -0.125 | errAexp: 0.17539
Run_number: 3940 | Ap_exp: 0.207547 | errAexp: 0.13437
Run_number: 3941 | Ap_exp: 0.0149254 | errAexp: 0.122156
Run_number: 3942 | Ap_exp: -0.121951 | errAexp: 0.155008
Run_number: 3944 | Ap_exp: -0.0666667 | errAexp: 0.182168
Run_number: 3945 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 3946 | Ap_exp: 0.176471 | errAexp: 0.13783
Run_number: 3947 | Ap_exp: -0.0869565 | errAexp: 0.146883
Run_number: 3948 | Ap_exp: 0.0746269 | errAexp: 0.121829
Run_number: 3951 | Ap_exp: 0.333333 | errAexp: 0.544331
Run_number: 3952 | Ap_exp: -0.0526316 | errAexp: 0.161997
Run_number: 3954 | Ap_exp: 0 | errAexp: 0.138675
Run_number: 3955 | Ap_exp: -0.242424 | errAexp: 0.11942
Run_number: 3956 | Ap_exp: -0.047619 | errAexp: 0.125845
Run_number: 3957 | Ap_exp: -0.105263 | errAexp: 0.16132
Run_number: 3959 | Ap_exp: 0 | errAexp: 0.129099
Run_number: 3960 | Ap_exp: -0.125 | errAexp: 0.17539
Run_number: 3961 | Ap_exp: 0.255814 | errAexp: 0.147424
Run_number: 3962 | Ap_exp: 0.157895 | errAexp: 0.226538
Run_number: 3963 | Ap_exp: -0.162791 | errAexp: 0.150464
Run_number: 3964 | Ap_exp: 0.192308 | errAexp: 0.136087
Run_number: 3965 | Ap_exp: 0.44 | errAexp: 0.1796
Run_number: 3966 | Ap_exp: -0.25 | errAexp: 0.171163
Run_number: 3967 | Ap_exp: -0.36 | errAexp: 0.18659
Run_number: 3968 | Ap_exp: -0.027027 | errAexp: 0.164339
Run_number: 3970 | Ap_exp: 0.0491803 | errAexp: 0.127882
Run_number: 3972 | Ap_exp: 0.215686 | errAexp: 0.136732
Run_number: 3973 | Ap_exp: 0.304348 | errAexp: 0.140447
Run_number: 3974 | Ap_exp: -0.0322581 | errAexp: 0.179512
Run_number: 3975 | Ap_exp: -0.176471 | errAexp: 0.13783
Run_number: 3976 | Ap_exp: -0.12 | errAexp: 0.198555
Run_number: 3977 | Ap_exp: 0.208333 | errAexp: 0.14117
Run_number: 3978 | Ap_exp: 0 | errAexp: 0.288675
Run_number: 3980 | Ap_exp: -1 | errAexp: 0
Run_number: 3981 | Ap_exp: 0.333333 | errAexp: 0.3849
Run_number: 3983 | Ap_exp: -0.111111 | errAexp: 0.191258
Run_number: 3985 | Ap_exp: -0.103448 | errAexp: 0.184699
Run_number: 3986 | Ap_exp: -0.307692 | errAexp: 0.186602
Run_number: 3996 | Ap_exp: 0.517241 | errAexp: 0.158925
Run_number: 3998 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 4023 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 4024 | Ap_exp: -1 | errAexp: 0
Run_number: 4025 | Ap_exp: -0.285714 | errAexp: 0.25612
Run_number: 4027 | Ap_exp: 0.157895 | errAexp: 0.226538
Run_number: 4028 | Ap_exp: 0.266667 | errAexp: 0.175963
Run_number: 4029 | Ap_exp: -0.333333 | errAexp: 0.181444
Run_number: 4030 | Ap_exp: 0 | errAexp: 0.213201
Run_number: 4031 | Ap_exp: -0.111111 | errAexp: 0.13524
Run_number: 4032 | Ap_exp: 0 | errAexp: 0.204124
Run_number: 4034 | Ap_exp: 0.0909091 | errAexp: 0.300263
Run_number: 4035 | Ap_exp: 0.103448 | errAexp: 0.184699
Run_number: 4036 | Ap_exp: -0.111111 | errAexp: 0.331269
Run_number: 4037 | Ap_exp: 0.111111 | errAexp: 0.234243
Run_number: 4038 | Ap_exp: 0.25 | errAexp: 0.242061
Run_number: 4043 | Ap_exp: 0.12 | errAexp: 0.198555
Run_number: 4044 | Ap_exp: 0.111111 | errAexp: 0.191258
Run_number: 4046 | Ap_exp: 0.111111 | errAexp: 0.331269
Run_number: 4048 | Ap_exp: -0.5 | errAexp: 0.433013
Run_number: 4051 | Ap_exp: -0.0943396 | errAexp: 0.136748
Run_number: 4052 | Ap_exp: 0.0769231 | errAexp: 0.195535
Run_number: 4053 | Ap_exp: 0.142857 | errAexp: 0.167297
Run_number: 4054 | Ap_exp: -0.0232558 | errAexp: 0.152457
Run_number: 4055 | Ap_exp: -0.0769231 | errAexp: 0.276528
Run_number: 4056 | Ap_exp: 0.0526316 | errAexp: 0.229098
Run_number: 4057 | Ap_exp: 0.222222 | errAexp: 0.229809
Run_number: 4058 | Ap_exp: 0.12 | errAexp: 0.198555
Run_number: 4059 | Ap_exp: 0.238095 | errAexp: 0.149866
Run_number: 4060 | Ap_exp: 0.0344828 | errAexp: 0.185585
Run_number: 4061 | Ap_exp: -0.0588235 | errAexp: 0.171202
Run_number: 4062 | Ap_exp: -0.0625 | errAexp: 0.176431
Run_number: 4063 | Ap_exp: -0.478261 | errAexp: 0.183121
Run_number: 4064 | Ap_exp: 0 | errAexp: 0.188982
Run_number: 4065 | Ap_exp: -0.294118 | errAexp: 0.231808
Run_number: 4066 | Ap_exp: 0.0769231 | errAexp: 0.276528
Run_number: 4067 | Ap_exp: 0.0769231 | errAexp: 0.276528
Run_number: 4068 | Ap_exp: 0.0714286 | errAexp: 0.133289
Run_number: 4069 | Ap_exp: 0 | errAexp: 0.25
Run_number: 4070 | Ap_exp: 0.2 | errAexp: 0.438178
Run_number: 4071 | Ap_exp: 0.025641 | errAexp: 0.160076
Run_number: 4072 | Ap_exp: -0.0357143 | errAexp: 0.133545
Run_number: 4073 | Ap_exp: -0.2 | errAexp: 0.438178
Run_number: 4074 | Ap_exp: -0.0638298 | errAexp: 0.145568
Run_number: 4075 | Ap_exp: 0.030303 | errAexp: 0.173998
Run_number: 4076 | Ap_exp: -0.212121 | errAexp: 0.170116
Run_number: 4077 | Ap_exp: 0.0689655 | errAexp: 0.130994
Run_number: 4078 | Ap_exp: -0.0181818 | errAexp: 0.134818
Run_number: 4079 | Ap_exp: 0 | errAexp: 0.196116
Run_number: 4080 | Ap_exp: 0.0980392 | errAexp: 0.139353
Run_number: 4081 | Ap_exp: -0.25 | errAexp: 0.342327
Run_number: 4082 | Ap_exp: -0.307692 | errAexp: 0.186602
Run_number: 4083 | Ap_exp: -0.0555556 | errAexp: 0.166409
Run_number: 4084 | Ap_exp: 0.0731707 | errAexp: 0.155755
Run_number: 4085 | Ap_exp: -0.173913 | errAexp: 0.145195
Run_number: 4086 | Ap_exp: -0.157895 | errAexp: 0.226538
Run_number: 4087 | Ap_exp: -0.368421 | errAexp: 0.213278
Run_number: 4088 | Ap_exp: -0.142857 | errAexp: 0.187044
Run_number: 4089 | Ap_exp: 0.5 | errAexp: 0.176777
