Q2_GeV2,mu_n_GE_over_GM,sigma
6.332130653266332,0.6642939910011506,0.20526558058647518
6.392427135678393,0.6675511591019068,0.20919364065680218
6.452723618090452,0.6707932028257865,0.21315419191504745
6.513020100502513,0.6740204195487624,0.21714697968132005
6.573316582914573,0.6772331006995871,0.22117175093259012
6.633613065326633,0.6804315319360416,0.22522825448168898
6.693909547738694,0.6836159933145388,0.22931624115056315
6.754206030150754,0.6867867594532362,0.2334354639377807
6.8145025125628145,0.6899440996889548,0.23758567818032678
6.874798994974874,0.6930882782283165,0.2417666417097846
6.935095477386935,0.6962195542932966,0.24597811500294475
6.9953919597989955,0.6993381822614064,0.25021986132687934
7.055688442211055,0.7024444118009088,0.2544916468786052
7.115984924623116,0.7055384880010299,0.25879324091931083
7.176281407035177,0.7086206514977361,0.2631244159033525
