dataset,panel,paper,Q2,value,stat_err,sys_err,total_err
global_fit_ye,ratio,Ye,0.12303,0.051390804344837636,,0.004297408508681853,0.004297408508681853
global_fit_ye,ratio,Ye,0.12445,0.05190229351093768,,0.004303764521045644,0.004303764521045644
global_fit_ye,ratio,Ye,0.12589,0.05241813525517306,,0.0043097756378271046,0.0043097756378271046
global_fit_ye,ratio,Ye,0.12735,0.052938334358466635,,0.0043154491930165245,0.0043154491930165245
global_fit_ye,ratio,Ye,0.12882,0.053462926778821696,,0.004320790361750238,0.004320790361750238
global_fit_ye,ratio,Ye,0.13032,0.05399193246763337,,0.0043258059328879295,0.0043258059328879295
global_fit_ye,ratio,Ye,0.13183,0.054525366355614696,,0.0043305031459445545,0.0043305031459445545
global_fit_ye,ratio,Ye,0.13335,0.05506326857662932,,0.004334888845096185,0.004334888845096185
global_fit_ye,ratio,Ye,0.1349,0.05560565827146216,,0.004338969837592229,0.004338969837592229
global_fit_ye,ratio,Ye,0.13646,0.05615254971352596,,0.004342753407470236,0.004342753407470236
global_fit_ye,ratio,Ye,0.13804,0.0567039556760733,,0.004346248002569629,0.004346248002569629
global_fit_ye,ratio,Ye,0.13964,0.057259926780024235,,0.004349459347075416,0.004349459347075416
global_fit_ye,ratio,Ye,0.14125,0.05782046482843383,,0.004352395913580485,0.004352395913580485
global_fit_ye,ratio,Ye,0.14289,0.05838559343974734,,0.004355066048168017,0.004355066048168017
global_fit_ye,ratio,Ye,0.14454,0.05895534644270726,,0.004357478148601459,0.004357478148601459
global_fit_ye,ratio,Ye,0.14622,0.0595297348987545,,0.004359639684021184,0.004359639684021184
global_fit_ye,ratio,Ye,0.14791,0.060108781687682064,,0.004361558022295246,0.004361558022295246
global_fit_ye,ratio,Ye,0.14962,0.06069251989090532,,0.004363242608964612,0.004363242608964612
global_fit_ye,ratio,Ye,0.15136,0.06128094911426743,,0.004364701968878392,0.004364701968878392
global_fit_ye,ratio,Ye,0.15311,0.06187411213515888,,0.004365944542074659,0.004365944542074659
global_fit_ye,ratio,Ye,0.15488,0.06247202057929287,,0.004366977732770128,0.004366977732770128
global_fit_ye,ratio,Ye,0.15668,0.06307469356102181,,0.00436781216837329,0.00436781216837329
